Substantia Nigra Right,Substantia Nigra Left
466.75,438.5
469.25,429.0
466.5,430.0
466.75,424.0
464.75,436.0
462.25,430.5
464.25,423.5
461.25,427.5
467.0,427.5
463.25,437.0
469.0,428.0
462.5,443.5
468.75,433.0
461.75,430.5
471.25,440.5
461.25,447.0
462.25,439.0
470.0,427.0
468.75,441.5
468.5,434.5
461.5,443.0
462.0,436.5
467.0,437.0
463.0,434.5
469.5,435.0
463.0,438.5
469.75,439.0
466.25,441.0
457.0,442.0
464.25,434.5
461.75,432.5
459.0,437.5
460.75,443.5
468.0,433.5
469.0,432.0
465.75,438.0
460.5,437.5
465.0,435.5
468.75,434.5
465.25,432.5
462.5,437.0
462.5,431.0
466.75,433.0
463.25,440.5
461.5,441.5
462.5,434.0
460.5,429.5
460.5,444.0
462.0,430.0
465.25,434.0
464.25,442.0
460.25,432.5
460.0,438.5
457.0,438.0
464.5,444.0
465.0,427.0
464.25,451.0
460.25,444.0
465.5,431.5
453.0,437.5
460.5,436.5
464.0,444.0
462.75,437.5
463.0,434.5
461.0,446.0
463.0,438.5
462.0,443.0
460.5,441.5
459.0,428.0
468.75,435.0
466.5,423.5
462.5,438.5
464.75,441.5
455.25,435.0
468.0,438.5
457.0,449.5
455.5,431.5
460.0,445.0
462.5,445.0
468.75,432.0
459.0,445.5
466.25,436.5
463.5,437.0
465.0,441.5
457.75,437.5
462.5,451.5
465.5,432.0
464.25,439.5
462.0,430.5
462.5,437.0
455.0,443.5
462.25,433.0
459.0,433.5
466.25,436.0
469.5,445.0
469.75,433.5
461.25,432.5
464.0,441.5
468.25,437.0
462.25,437.0
466.0,434.5
464.75,440.0
459.0,452.5
472.75,425.0
454.5,443.0
465.25,430.5
462.25,433.0
463.25,439.5
461.5,434.5
460.0,426.0
460.0,439.5
457.5,436.0
465.25,432.0
466.5,440.0
462.5,432.0
462.25,439.0
459.25,435.0
463.5,435.5
461.5,433.5
459.25,431.5
463.75,442.5
472.25,434.0
465.0,443.0
467.0,436.0
463.5,434.0
461.5,436.5
465.0,446.5
464.25,434.5
464.5,439.0
469.25,445.5
460.75,435.0
468.5,438.0
471.0,439.0
465.5,433.0
470.0,446.0
460.0,435.5
461.75,421.5
462.25,439.5
460.75,439.5
463.5,441.0
468.75,425.5
464.5,437.5
466.5,438.5
466.5,445.5
469.25,446.5
464.25,430.5
463.75,439.5
471.0,440.0
464.75,433.5
466.75,445.0
470.75,435.0
463.5,440.0
472.0,443.0
463.0,438.0
472.75,443.0
462.5,434.5
459.0,436.0
466.5,443.5
465.5,435.0
466.0,430.5
465.75,448.5
465.25,441.0
461.5,434.0
462.25,435.5
467.5,437.5
466.25,434.0
471.75,449.5
467.0,438.5
473.75,444.0
465.75,439.5
467.75,447.0
465.25,433.5
468.0,438.5
474.5,440.5
461.0,433.5
467.25,441.0
465.25,433.0
467.25,437.5
474.75,448.0
467.75,438.0
463.75,439.0
474.0,449.5
467.75,431.5
465.0,440.0
466.75,449.0
476.25,432.0
468.25,437.0
466.5,430.5
466.75,435.0
467.0,452.0
463.0,435.5
462.75,430.5
463.5,436.0
463.0,434.0
465.75,432.5
469.75,437.5
463.75,431.5
466.0,429.5
464.75,444.5
470.5,435.0
461.75,441.0
476.5,443.0
466.25,435.5
464.25,441.5
469.0,438.5
465.5,432.5
470.25,432.0
471.0,442.0
469.0,424.5
469.75,449.0
468.25,442.0
473.5,446.0
470.25,439.0
474.5,433.0
464.0,435.5
474.0,434.5
474.5,440.0
463.25,435.5
472.5,442.5
461.0,439.5
474.5,434.5
464.5,434.5
467.0,443.5
468.25,441.5
464.75,444.5
470.25,431.0
469.25,443.0
468.5,436.5
465.0,439.5
476.0,447.0
463.25,443.5
468.75,442.5
470.75,432.0
463.5,434.0
465.75,442.0
476.25,444.5
471.25,431.0
474.25,452.5
474.0,434.5
472.0,442.5
462.25,451.0
470.5,440.5
470.75,446.5
467.5,432.5
474.0,451.0
477.0,439.0
472.0,446.5
473.0,440.0
464.5,433.5
468.75,434.0
463.25,445.5
478.75,452.5
469.0,436.0
471.75,443.5
471.25,446.0
471.5,443.0
468.5,442.0
478.0,442.0
474.0,438.5
480.0,444.0
469.0,446.5
472.5,446.5
469.5,439.0
474.5,448.5
471.0,452.0
474.0,444.5
469.5,436.5
470.75,458.0
471.5,435.0
472.5,438.5
469.25,442.0
465.25,432.5
470.0,428.0
474.5,461.0
472.0,434.0
469.5,440.0
474.0,441.0
468.75,450.5
469.25,440.0
464.75,440.5
466.25,440.5
463.75,453.0
461.25,441.0
468.0,443.5
464.0,438.0
460.25,433.0
472.25,454.0
470.0,430.0
476.0,462.5
464.25,433.5
476.5,451.5
469.25,436.5
470.25,440.5
469.25,447.5
467.5,430.0
472.25,433.0
470.0,436.5
474.25,446.5
469.75,435.5
473.5,443.0
