Substantia Nigra Right,Substantia Nigra Left
477.0,459.0
478.5,449.0
470.0,468.5
468.0,467.5
481.5,464.0
475.5,459.5
471.5,461.0
472.5,473.5
483.0,456.0
482.5,471.0
473.5,461.5
479.5,461.0
474.5,460.0
473.5,458.5
483.5,468.5
482.0,470.0
465.0,462.5
482.5,462.0
468.0,460.0
469.5,456.0
472.0,461.5
478.5,466.0
481.5,454.5
470.0,460.5
481.5,473.5
476.0,461.5
477.5,466.5
481.0,463.5
475.5,460.0
472.0,462.5
471.0,452.0
479.0,464.0
471.5,455.0
475.5,460.5
471.5,465.0
484.0,469.0
479.0,463.0
485.5,473.0
479.0,462.5
473.0,462.5
476.5,470.0
470.0,457.0
487.5,470.5
479.0,465.5
490.0,466.5
476.5,470.0
478.5,459.5
482.0,460.0
476.5,467.5
471.0,466.0
483.0,460.0
484.0,464.0
477.5,453.0
477.0,460.5
466.0,469.5
478.0,460.5
476.5,466.0
489.0,464.5
466.5,460.0
486.5,460.0
480.5,477.5
476.0,480.0
475.0,461.5
478.5,468.5
476.5,468.0
474.0,458.5
466.0,449.0
475.5,461.0
471.0,467.5
478.0,465.5
489.0,468.5
482.0,465.0
484.0,462.5
474.5,467.0
468.0,470.5
478.0,467.5
478.5,468.5
477.0,468.0
486.5,457.5
478.0,470.5
480.0,470.5
473.5,470.0
476.5,471.0
483.5,462.5
477.5,467.0
485.0,468.0
471.0,473.0
482.5,472.5
479.0,467.5
479.5,466.0
474.5,467.0
474.5,467.5
474.5,468.5
484.0,475.5
489.5,465.5
482.0,468.5
480.5,476.5
473.5,470.5
484.0,469.0
482.0,462.5
475.0,467.5
487.0,474.0
480.0,463.5
476.0,468.0
474.0,464.0
482.5,466.0
487.0,465.5
486.5,476.0
469.5,457.0
483.0,476.5
480.0,465.0
483.0,456.5
494.0,470.0
480.0,465.5
498.5,467.0
476.5,470.5
487.5,462.0
474.0,474.0
470.0,467.5
484.0,477.5
468.5,473.5
473.0,464.0
479.5,467.5
477.5,474.5
474.5,471.5
471.5,473.0
476.0,468.0
489.5,471.5
479.0,469.5
483.0,467.0
488.0,476.0
482.5,466.0
480.0,464.5
484.5,470.0
487.5,462.0
478.0,472.5
482.5,467.5
485.5,468.5
484.0,472.0
484.5,470.0
478.5,474.5
484.0,479.0
487.0,473.5
488.0,474.5
482.0,477.0
479.0,469.5
490.5,465.5
476.0,472.0
485.5,475.0
495.5,465.0
492.5,469.5
483.0,471.5
481.0,469.5
486.0,469.5
483.5,467.5
477.5,471.0
487.0,472.5
486.5,461.5
495.0,470.0
483.5,474.0
487.5,478.0
486.0,469.5
488.0,470.0
480.5,466.5
498.5,469.5
501.0,477.0
479.5,468.0
488.0,474.0
482.0,478.0
488.5,465.5
481.0,472.5
486.5,461.0
482.0,471.5
486.5,473.5
481.0,470.0
487.5,468.5
498.0,473.5
488.5,467.0
490.5,468.5
485.0,461.0
489.0,467.5
494.0,464.5
495.5,468.0
497.0,477.5
495.5,479.5
494.5,479.5
488.5,476.5
483.5,477.5
489.5,470.0
489.5,473.0
492.5,469.0
483.5,474.5
492.5,473.5
488.5,478.5
492.0,474.0
481.0,472.5
491.0,470.0
500.5,476.0
492.0,468.5
480.0,469.5
490.0,479.0
479.5,472.0
483.5,473.0
474.5,467.0
487.5,473.0
487.5,480.0
493.0,473.0
485.0,472.5
485.5,463.5
485.0,471.0
483.0,474.5
483.0,474.0
487.5,473.5
493.0,476.5
486.0,480.0
486.0,466.5
492.0,473.0
490.5,470.5
476.5,468.0
479.0,473.0
458.0,466.5
484.5,464.5
486.0,465.5
488.5,469.5
483.0,471.5
498.0,484.0
491.0,472.0
486.0,469.0
483.5,471.5
484.0,477.0
490.0,473.5
479.5,478.5
495.5,473.5
498.5,476.5
485.5,473.5
497.0,475.5
490.0,475.5
488.0,471.5
486.0,473.5
486.0,472.0
484.0,479.5
480.5,475.5
490.0,481.0
500.5,472.5
497.5,470.0
502.0,481.5
486.0,481.0
484.0,467.5
480.5,481.0
482.5,470.5
485.5,477.0
491.0,476.5
494.5,488.0
497.5,468.0
489.5,474.0
480.0,466.0
477.5,472.5
490.5,466.0
493.5,476.0
502.5,478.0
483.5,470.5
492.5,476.0
491.5,472.5
495.5,473.5
481.0,484.5
491.5,479.0
486.5,469.0
488.5,475.5
489.0,467.0
490.5,474.5
491.0,469.0
490.5,481.5
480.5,474.5
480.0,469.0
482.5,476.0
484.0,473.0
492.5,475.5
490.0,473.5
479.5,475.5
485.0,480.5
461.5,474.5
479.5,467.5
485.0,476.5
482.5,467.5
487.0,475.0
483.0,473.5
488.0,472.0
485.0,479.0
474.5,478.5
480.5,473.5
484.5,474.5
490.5,479.0
492.0,475.0
487.5,470.0
488.0,469.5
485.5,471.5
478.0,470.0
481.0,472.5
493.5,474.5
498.5,468.5
