Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens
4056.874591770085,4518.938547486034,5185.395833333333,4786.792843691149,4492.023809523809,4544.6578947368425,4975.850220264318,4193.121951219512,5079.295081967213,4807.794871794872,4548.115107913669,4474.170289855072,4899.255924170616,4227.456140350877,4074.6376811594205,4679.236263736264,4714.184701492537,4990.732026143791,5502.738636363636,5288.2962962962965,5488.913242009133,5741.261682242991,5323.497093023256,5224.586776859504,2873.108695652174,5993.0544217687075,3501.1176470588234,5104.472222222223,4418.795081967213,5059.174358974359,5624.516198704104,5549.645669291339,3638.5884955752213,3680.769230769231,4339.360655737705,5277.6423357664235,3656.935483870968,4359.142857142857,5440.63025210084,5055.377777777778,5153.68,4524.056451612903,4070.717391304348,5363.639344262295,5324.804878048781,4693.8125,5393.307692307692,6380.983651226158,4116.144867833848,4452.522557112689,6097.118343195266,4888.494117647058,4338.833333333333,4028.875912408759,5441.630996309963,4314.192214111922,4354.15625,4946.107142857143,5039.74358974359,4816.256643887624,5253.89205905826,7210.623655913979,6110.817391304347,6624.369565217391,3553.5238095238096,3705.6785714285716,3928.8,3132.25,4829.4
3461.8791639451338,3899.8296089385476,4288.375,4128.715630885123,3862.495238095238,3885.6447368421054,4171.408223201175,3213.3243902439026,4102.631147540984,3947.675213675214,3815.021582733813,3791.876811594203,4201.8341232227485,3627.4912280701756,3502.1932367149757,4092.7252747252746,4027.106343283582,4207.003267973856,4535.795454545455,4498.037037037037,4615.333333333333,4876.479305740988,4621.497093023256,4387.157024793389,2335.945652173913,4594.60544217687,2585.078431372549,3965.0119047619046,3585.4303278688526,4131.148717948718,4528.015118790497,4631.582677165355,2986.7256637168143,2881.6923076923076,3531.8360655737706,4257.313868613139,3007.6290322580644,3557.8650793650795,4352.243697478992,4349.748148148148,4213.8,3916.0967741935483,3670.467391304348,4363.950819672131,4292.609756097561,4030.59375,4690.2307692307695,5340.231607629427,3550.733951253004,3781.3288539067,4116.2721893491125,3762.458823529412,3365.375,3284.2335766423357,4055.0627306273063,3307.829683698297,3612.5625,4153.440476190476,4098.192307692308,4030.5273348519363,4323.9138068635275,4484.870967741936,4102.834782608696,4293.195652173913,3145.126984126984,3197.25,3271.088888888889,2693.1785714285716,3252.6
3363.6309601567605,3808.103351955307,4114.257575757576,3992.858757062147,3751.0333333333333,3759.684210526316,3989.8091042584433,3062.336585365854,3931.0163934426228,3818.4444444444443,3730.1079136690646,3708.4057971014495,4105.981042654028,3534.842105263158,3417.096618357488,4008.747252747253,3876.740671641791,4032.447712418301,4325.028409090909,4330.212962962963,4440.13698630137,4688.612817089453,4517.7441860465115,4266.05785123967,2232.163043478261,4284.789115646258,2493.0,3780.2103174603176,3469.188524590164,4007.4307692307693,4312.138228941684,4472.062992125984,2895.0619469026547,2801.769230769231,3448.065573770492,4119.631386861314,2959.451612903226,3479.309523809524,4200.882352941177,4251.170370370371,4060.2,3834.298387096774,3613.0434782608695,4191.672131147541,4131.0,3947.984375,4575.692307692308,5121.643051771117,3462.562306900103,3652.3213668650415,3768.940828402367,3579.9529411764706,3223.8229166666665,3162.167883211679,3799.9261992619927,3197.3698296836983,3478.703125,3999.1071428571427,3926.7948717948716,3926.2490508731967,4166.178172386273,4075.7096774193546,3821.4,3907.608695652174,3107.4444444444443,3150.3214285714284,3232.4,2662.714285714286,3032.8
3340.8621815806664,3786.8882681564246,4068.4223484848485,3960.7062146892654,3718.7238095238095,3726.5482456140353,3939.3421439060207,3009.7926829268295,3878.6147540983607,3782.2820512820513,3709.165467625899,3676.4057971014495,4082.9146919431278,3502.2368421052633,3401.8212560386473,3992.3296703296705,3836.311567164179,3985.529411764706,4267.954545454545,4286.310185185185,4389.273972602739,4639.439252336449,4499.697674418605,4231.93388429752,2217.6195652173915,4192.183673469388,2476.9607843137255,3749.3690476190477,3456.4754098360654,3976.271794871795,4254.1857451403885,4433.755905511811,2868.977876106195,2787.3173076923076,3421.1475409836066,4094.8795620437954,2929.2096774193546,3457.9285714285716,4163.075630252101,4230.422222222222,4004.72,3807.717741935484,3597.141304347826,4159.311475409836,4104.243902439024,3929.15625,4550.0,5050.762942779292,3439.902849296258,3616.5636398540987,3665.8579881656806,3529.064705882353,3172.6041666666665,3128.817518248175,3738.9372693726937,3160.029197080292,3447.9765625,3966.0714285714284,3877.2948717948716,3899.8033409263476,4126.0085794094175,3943.3440860215055,3723.330434782609,3776.586956521739,3098.9841269841268,3142.5,3214.0,2656.6785714285716,2997.6
3326.2704114957546,3773.3854748603353,4042.066287878788,3938.448210922787,3703.504761904762,3710.2105263157896,3912.070484581498,2993.048780487805,3857.1639344262294,3762.735042735043,3698.68345323741,3660.0797101449275,4070.928909952607,3488.9298245614036,3388.2850241545893,3984.214285714286,3811.438432835821,3957.300653594771,4239.113636363636,4265.435185185185,4363.018264840182,4608.368491321762,4489.491279069767,4218.181818181818,2200.8804347826085,4145.925170068027,2472.607843137255,3731.8293650793653,3442.590163934426,3952.7179487179487,4220.358531317494,4405.062992125984,2860.150442477876,2776.5,3406.0163934426228,4075.9598540145985,2928.6935483870966,3446.3253968253966,4144.966386554622,4224.9111111111115,3985.06,3803.9274193548385,3593.478260869565,4143.213114754099,4078.7804878048782,3921.734375,4547.2307692307695,5012.594005449591,3427.1321661517336,3597.151084661163,3623.1420118343194,3493.8176470588237,3148.3229166666665,3111.4598540145985,3706.2988929889298,3150.167883211679,3428.4296875,3940.654761904762,3855.3076923076924,3885.8883826879273,4104.324221867518,3895.0752688172042,3690.582608695652,3729.0652173913045,3088.968253968254,3130.1071428571427,3206.911111111111,2660.6428571428573,2968.6
3323.2749836708035,3770.740223463687,4038.126893939394,3939.2090395480227,3699.1428571428573,3708.5131578947367,3906.064610866373,2989.6243902439023,3855.245901639344,3761.5128205128203,3697.820143884892,3658.800724637681,4069.445497630332,3487.684210526316,3391.2850241545893,3985.2582417582416,3812.0671641791046,3958.0686274509803,4228.846590909091,4261.12037037037,4360.292237442923,4604.9612817089455,4489.65988372093,4204.975206611571,2203.913043478261,4127.414965986394,2465.656862745098,3718.3253968253966,3421.3524590163934,3943.097435897436,4211.997840172786,4401.708661417323,2858.353982300885,2775.153846153846,3406.065573770492,4064.985401459854,2919.5,3445.0555555555557,4146.504201680672,4215.8592592592595,3977.64,3801.9032258064517,3592.695652173913,4140.327868852459,4074.048780487805,3919.484375,4522.7692307692305,5006.059945504087,3426.5341572262273,3594.249568055289,3611.733727810651,3491.752941176471,3147.3125,3107.883211678832,3681.2140221402215,3146.654501216545,3428.40625,3939.785714285714,3856.6923076923076,3882.7038724373574,4100.0257382282525,3876.3010752688174,3682.2260869565216,3714.021739130435,3088.126984126984,3131.0714285714284,3212.9777777777776,2651.1428571428573,2999.0
3315.9915088177663,3763.0558659217877,4030.526515151515,3929.116760828625,3691.4857142857145,3696.938596491228,3897.375917767988,2978.1341463414633,3839.9836065573772,3737.1794871794873,3689.136690647482,3644.4239130434785,4060.3317535545025,3475.1052631578946,3379.024154589372,3975.0494505494507,3802.9216417910447,3951.0882352941176,4222.426136363636,4254.902777777777,4348.292237442923,4590.6608811749,4478.101744186047,4199.371900826446,2191.7391304347825,4116.0952380952385,2459.9901960784314,3692.6507936507937,3382.217213114754,3938.6871794871795,4199.585313174946,4378.118110236221,2852.491150442478,2763.625,3401.967213114754,4052.57299270073,2916.6774193548385,3442.4523809523807,4134.302521008403,4209.051851851852,3949.72,3783.7580645161293,3590.8695652173915,4118.131147540984,4031.439024390244,3888.703125,4525.923076923077,4975.068119891008,3417.3556470992103,3581.4378959493183,3596.9526627218934,3483.9,3134.2604166666665,3100.605839416058,3657.361623616236,3138.498783454988,3419.4609375,3925.785714285714,3843.141025641026,3874.961655277145,4089.04469273743,3864.2043010752686,3671.4434782608696,3708.8260869565215,3088.746031746032,3131.714285714286,3201.2444444444445,2653.25,2974.2
3320.559111691705,3770.2653631284916,4035.5170454545455,3935.708097928437,3690.8238095238094,3703.3070175438597,3906.56093979442,2946.3536585365855,3823.6721311475408,3732.2051282051284,3657.748201438849,3642.0978260869565,4063.436018957346,3480.1929824561403,3385.086956521739,3981.769230769231,3815.4533582089553,3955.8888888888887,4226.926136363636,4255.5462962962965,4351.8721461187215,4597.616822429906,4482.235465116279,4205.388429752066,2186.1195652173915,4121.986394557823,2454.9313725490197,3698.59126984127,3399.4590163934427,3943.9897435897437,4204.781857451404,4369.976377952756,2836.1327433628317,2762.2403846153848,3387.9180327868853,4055.375912408759,2913.0,3440.0555555555557,4143.1596638655465,4208.851851851852,3955.36,3786.1532258064517,3588.7608695652175,4102.868852459016,4039.8048780487807,3887.53125,4526.461538461538,4970.6403269754765,3421.360109852386,3583.123248224227,3605.804733727811,3489.9,3147.0,3110.956204379562,3665.660516605166,3140.8345498783456,3418.7109375,3926.2380952380954,3848.576923076923,3878.044039483675,4091.8527533918596,3872.2150537634407,3689.5478260869563,3729.9347826086955,3095.3174603174602,3133.964285714286,3211.4666666666667,2656.0,2974.2
3316.332462442848,3765.6787709497207,4031.6780303030305,3929.35593220339,3694.8809523809523,3708.9166666666665,3902.643171806167,2926.529268292683,3816.6475409836066,3724.5213675213677,3649.1007194244603,3638.1557971014495,4067.0236966824646,3477.2631578947367,3376.3333333333335,3977.1593406593406,3808.716417910448,3950.9803921568628,4221.875,4253.652777777777,4350.16894977169,4591.79305740988,4473.517441860465,4199.033057851239,2175.021739130435,4125.367346938776,2438.4901960784314,3697.3253968253966,3402.69262295082,3933.779487179487,4201.7343412527,4364.141732283465,2831.6725663716816,2756.9423076923076,3375.409836065574,4042.883211678832,2906.5806451612902,3432.7063492063494,4138.470588235294,4210.725925925926,3966.38,3795.6532258064517,3587.5760869565215,4104.377049180328,4062.1951219512193,3894.703125,4523.076923076923,4971.632152588556,3418.4019910744937,3578.3202150124785,3597.568047337278,3486.358823529412,3135.8020833333335,3104.715328467153,3660.247232472325,3131.1289537712896,3416.9921875,3927.1071428571427,3843.5641025641025,3876.4282460136674,4086.91580207502,3868.505376344086,3672.7130434782607,3713.3695652173915,3097.4285714285716,3133.5,3203.177777777778,2655.0714285714284,2961.0
3313.0424559111693,3770.8100558659216,4031.2026515151515,3930.15065913371,3699.0904761904762,3707.872807017544,3904.1688693098386,2956.734146341463,3834.3278688524592,3741.17094017094,3668.0359712230215,3653.057971014493,4069.791469194313,3481.7631578947367,3386.314009661836,3980.2912087912086,3808.044776119403,3950.6013071895427,4225.875,4256.2962962962965,4351.013698630137,4592.520694259012,4475.2238372093025,4192.702479338843,2185.0760869565215,4134.034013605442,2447.264705882353,3701.4880952380954,3418.7336065573772,3938.0307692307692,4197.643628509719,4365.850393700787,2845.716814159292,2759.875,3384.9508196721313,4044.102189781022,2911.8548387096776,3440.0079365079364,4137.1596638655465,4219.466666666666,3983.58,3797.8225806451615,3592.445652173913,4120.049180327869,4060.487804878049,3901.625,4518.461538461538,4977.564032697548,3421.430827325781,3583.060472259551,3599.189349112426,3486.505882352941,3140.375,3108.401459854015,3665.8745387453873,3136.4233576642337,3418.4296875,3928.8928571428573,3848.9615384615386,3879.2319665907366,4090.108140462889,3868.1827956989246,3673.8434782608697,3714.4347826086955,3096.126984126984,3127.8571428571427,3200.822222222222,2650.785714285714,2970.0
