Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens
688.6446886446887,823.064039408867,810.2381756756756,805.5336538461538,775.8268398268398,761.0938775510205,766.34375,740.5794979079498,742.8974358974359,774.955223880597,783.8391608391609,824.4880546075085,814.6709401709402,709.1928571428572,730.5892857142857,795.7736842105263,783.9761092150171,749.4580645161291,811.8444444444444,808.3004115226338,782.0322580645161,695.8054892601432,866.5486486486486,849.5845070422536,600.4433962264151,819.4970760233919,603.9180327868852,871.6807692307692,864.7372549019608,874.9765258215963,842.0666666666667,813.8595041322315,762.7834645669292,834.7830188679245,872.723076923077,883.7678571428571,800.8933333333333,899.8013245033112,921.8852459016393,820.703947368421,851.3448275862069,777.3907284768212,760.6703296703297,935.0892857142857,857.7457627118644,820.2027027027027,750.9130434782609,776.0149625935162,804.4460317460317,775.9121123864999,892.8023255813954,876.765625,864.7882352941176,733.4159292035398,653.1339285714286,903.625,695.6268656716418,730.016393442623,623.8369565217391,823.2377332411887,788.6590216807024,1037.532110091743,1056.0081967213114,1055.2448979591836,781.175,823.2962962962963,874.16,859.6060606060606,1059.8
685.5518925518926,821.7857142857143,805.9881756756756,802.6153846153846,773.7272727272727,759.869387755102,763.5208333333334,738.7008368200837,742.042735042735,771.5,781.3006993006993,824.5699658703072,812.2649572649573,707.1571428571428,729.4508928571429,796.2,778.2576791808874,743.2387096774194,807.7611111111111,803.7860082304527,778.9139784946236,689.9856801909308,864.2243243243244,850.4859154929577,593.1037735849056,816.812865497076,600.8360655737705,870.123076923077,862.5411764705882,873.2629107981221,838.3070707070707,812.404958677686,759.6456692913385,832.0283018867924,872.0307692307692,882.575,800.96,893.1721854304636,915.6803278688525,822.2368421052631,851.7241379310345,777.2781456953643,760.0769230769231,933.0892857142857,855.8983050847457,818.7567567567568,750.9565217391304,770.7705735660847,803.4492063492063,772.978756210382,888.2325581395348,872.4583333333334,859.0823529411765,730.8761061946902,653.2857142857143,900.5905172413793,693.9029850746268,730.5573770491803,621.9673913043479,821.832411886662,785.1587529116646,1031.0275229357799,1048.5245901639344,1052.6734693877552,779.9375,818.6666666666666,874.76,864.2727272727273,1072.0
690.6892551892552,821.2216748768473,808.9476351351351,806.0849358974359,776.3030303030303,760.3795918367347,762.0950520833334,740.918410041841,742.2222222222222,774.6343283582089,782.3426573426574,824.358361774744,811.457264957265,708.8285714285714,732.8571428571429,793.1,772.5392491467577,736.2096774193549,808.4722222222222,801.4115226337449,777.2401433691756,681.645584725537,866.472972972973,848.2042253521126,602.9245283018868,817.046783625731,611.8196721311475,873.8538461538461,867.0980392156863,876.8215962441315,841.9979797979798,809.4132231404959,763.2677165354331,834.9245283018868,872.3076923076923,884.075,805.4133333333333,896.3046357615895,919.1803278688525,822.75,847.3275862068965,776.9470198675497,764.9120879120879,941.1607142857143,846.0508474576271,816.7162162162163,749.304347826087,766.5187032418953,805.8044444444445,773.1077608360459,889.5639534883721,878.9739583333334,863.3529411764706,732.637168141593,655.7767857142857,899.2090517241379,692.4925373134329,722.688524590164,618.6847826086956,824.6703524533517,785.5975631607239,1031.366972477064,1055.639344262295,1055.6938775510205,784.0,820.7037037037037,874.84,853.8484848484849,1079.2
687.491452991453,821.8275862068965,806.4577702702703,801.7163461538462,773.2510822510823,758.5755102040816,763.4661458333334,742.1129707112971,741.7521367521367,771.9253731343283,782.4335664335664,826.3242320819113,811.9017094017094,709.0357142857143,732.4910714285714,797.1736842105263,776.7918088737201,744.9903225806452,804.8611111111111,801.0205761316872,777.0322580645161,689.1324582338902,864.2108108108108,850.2816901408451,595.566037735849,818.3099415204679,612.0901639344262,869.9923076923077,864.0156862745098,873.9671361502348,839.8666666666667,810.0743801652893,760.1496062992126,836.7169811320755,873.5538461538462,882.9285714285714,800.36,897.317880794702,916.3934426229508,820.875,854.8275862068965,777.2119205298013,762.6153846153846,935.0,858.1525423728814,820.8648648648649,758.3478260869565,771.8428927680798,804.155873015873,773.0788076066473,886.3372093023256,878.203125,859.4235294117647,732.2300884955753,655.5178571428571,896.9439655172414,693.2537313432836,729.983606557377,621.6086956521739,823.1440912232205,786.1967389356746,1031.8165137614678,1049.5,1050.204081632653,783.1875,819.1851851851852,869.14,860.2121212121212,1067.2
687.7185592185592,820.2364532019704,805.7584459459459,803.3541666666666,774.4415584415584,759.861224489796,762.23828125,739.2803347280335,742.9230769230769,772.4701492537314,781.6293706293707,827.5665529010239,811.7820512820513,705.65,731.7142857142857,793.2578947368421,771.3515358361775,736.8451612903226,805.8166666666667,798.2098765432099,774.3870967741935,680.4224343675418,866.7918918918919,847.8661971830986,596.7264150943396,816.7251461988304,604.0491803278688,870.4576923076924,863.9176470588235,875.7793427230047,839.7353535353535,807.9504132231405,761.6692913385826,835.3962264150944,874.7846153846153,884.9464285714286,803.0,893.9470198675497,916.5573770491803,823.5921052631579,850.948275862069,778.8013245033112,761.8461538461538,940.5892857142857,847.8644067796611,816.027027027027,750.304347826087,766.9526184538653,805.0704761904761,771.7147507281138,887.7732558139535,871.9947916666666,860.2823529411764,731.4513274336283,654.7678571428571,899.7974137931035,692.5373134328358,723.4426229508197,618.5217391304348,823.6558396682792,784.0931732664397,1034.1834862385322,1044.688524590164,1053.2857142857142,783.775,821.5925925925926,876.06,862.1515151515151,1080.6
691.9774114774115,823.0714285714286,807.793918918919,804.3733974358975,775.5497835497836,759.2204081632653,761.4309895833334,744.6234309623431,745.2136752136752,775.3432835820895,781.93006993007,827.2081911262799,814.0683760683761,711.6,734.6339285714286,793.9263157894737,772.1723549488055,739.5903225806452,808.0388888888889,799.3415637860082,775.5627240143369,681.9832935560859,866.2405405405406,851.056338028169,604.0283018867924,816.0818713450292,612.3032786885246,874.9153846153846,868.2588235294118,875.056338028169,840.769696969697,812.5371900826447,766.1653543307086,842.688679245283,876.2923076923076,885.2607142857142,807.6533333333333,901.2119205298013,916.0245901639345,821.0394736842105,851.6896551724138,773.6887417218543,762.6593406593406,939.3928571428571,851.3898305084746,821.4054054054054,761.9130434782609,769.9376558603491,805.312380952381,773.8233681685798,884.2151162790698,879.71875,863.9411764705883,734.9203539823009,659.0267857142857,897.5237068965517,693.0820895522388,726.3770491803278,619.445652173913,824.7484450587423,786.4391686077764,1025.0275229357799,1057.549180327869,1056.734693877551,785.7375,824.7777777777778,867.4,856.939393939394,1081.6
689.4212454212454,821.5492610837439,805.7804054054054,801.7067307692307,774.2857142857143,760.3224489795919,762.6236979166666,740.5836820083682,742.9316239316239,772.8059701492538,782.3636363636364,827.3515358361775,812.042735042735,710.0928571428572,732.6517857142857,795.5526315789474,772.7576791808874,739.5709677419355,805.5722222222222,798.5020576131687,776.2043010752689,681.4952267303103,869.1513513513513,851.887323943662,596.5094339622641,815.7076023391813,610.9180327868852,873.7038461538461,865.0823529411765,875.8826291079812,839.9151515151515,811.9173553719008,761.2401574803149,840.5283018867924,872.723076923077,885.0535714285714,805.92,895.5298013245033,914.360655737705,822.8815789473684,851.2241379310345,777.8278145695364,761.5494505494505,933.9107142857143,851.1186440677966,819.0945945945946,760.1739130434783,767.857855361596,804.3342857142857,772.7257152646907,883.3720930232558,871.1458333333334,861.3882352941176,733.5398230088496,657.2410714285714,898.75,695.5223880597015,725.688524590164,618.7826086956521,823.313407049067,785.2478050528579,1027.9174311926606,1043.5,1054.1020408163265,782.3875,822.2222222222222,872.76,861.7878787878788,1087.2
691.4261294261295,821.2536945812808,808.902027027027,805.6971153846154,773.5194805194806,761.6204081632653,761.04296875,740.8828451882845,744.2307692307693,774.820895522388,783.9370629370629,827.122866894198,812.0940170940171,711.85,733.375,793.4368421052632,769.0597269624574,733.841935483871,808.1777777777778,798.2674897119341,775.3655913978495,678.0966587112172,871.5648648648648,851.2605633802817,603.5566037735849,815.4795321637426,611.672131147541,873.8538461538461,868.8549019607843,879.6854460093897,843.5313131313131,813.5041322314049,762.8307086614174,842.9811320754717,874.8923076923077,887.9392857142857,808.7733333333333,895.6754966887418,914.688524590164,824.2763157894736,847.1551724137931,777.6423841059602,764.6263736263736,936.5892857142857,844.8474576271186,816.6621621621622,760.1304347826087,765.6957605985037,806.3088888888889,773.1637827651191,885.0116279069767,873.9322916666666,865.0823529411765,733.7345132743363,657.4821428571429,899.6293103448276,693.4701492537314,718.360655737705,617.804347826087,825.280580511403,785.2870453323777,1028.7339449541284,1047.9098360655737,1049.6530612244899,786.6125,823.4814814814815,871.14,860.0,1086.8
689.009768009768,823.2389162561576,807.4121621621622,803.0592948717949,773.6320346320347,760.934693877551,764.2552083333334,743.755230125523,743.7521367521367,773.9029850746268,783.7202797202797,826.9829351535836,813.2094017094017,712.9785714285714,734.0580357142857,796.7578947368421,776.0836177474403,742.9645161290323,807.6111111111111,801.9917695473251,777.7956989247311,689.8914081145584,870.081081081081,852.1056338028169,597.8867924528302,818.5964912280701,609.8032786885246,872.5307692307692,866.5254901960784,877.3333333333334,843.6808080808081,816.3553719008264,761.4685039370079,840.877358490566,872.9230769230769,885.0392857142857,806.4933333333333,897.9271523178808,914.0901639344262,821.6513157894736,853.5,777.1523178807947,763.5824175824176,931.625,856.6779661016949,820.6621621621622,764.6521739130435,774.571072319202,805.6403174603174,774.8437553537776,886.0,873.5,863.6,733.5309734513274,659.3303571428571,900.7543103448276,693.8059701492538,726.5737704918033,619.7826086956521,824.1679336558396,787.1716538254793,1028.6880733944954,1049.516393442623,1049.4897959183672,783.5875,821.5555555555555,873.64,858.060606060606,1088.2
689.8162393162393,822.8940886699507,807.2567567567568,804.2099358974359,775.5670995670996,760.9918367346938,764.0638020833334,741.9853556485356,743.4358974358975,773.7611940298508,783.027972027972,827.3720136518772,811.2649572649573,713.35,733.9017857142857,795.3421052631579,773.1774744027304,739.3612903225807,809.0944444444444,799.0205761316872,775.68458781362,681.9665871121719,869.2243243243244,850.7394366197183,596.9622641509434,818.2163742690059,611.9918032786885,873.4923076923077,867.0235294117647,876.7136150234742,841.779797979798,811.5123966942149,760.7362204724409,841.8490566037735,874.1538461538462,884.2892857142857,807.8666666666667,897.4437086092715,913.7704918032787,823.2368421052631,853.3793103448276,777.8079470198676,765.0989010989011,933.9464285714286,850.3389830508474,819.3783783783783,764.4782608695652,769.1596009975062,805.967619047619,773.8086345725544,885.203488372093,873.0885416666666,861.9882352941177,732.141592920354,657.5625,902.6508620689655,692.7835820895523,720.5081967213115,617.6413043478261,824.6257774706289,785.7077584662247,1026.7339449541284,1046.7868852459017,1052.591836734694,784.125,823.5185185185185,871.8,864.0909090909091,1088.6
