Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens
4628.117924528302,4746.306074766355,5486.574829931973,5088.290529695024,5440.2125,5218.093333333333,5103.954314720812,4216.573033707865,5430.396551724138,4903.85401459854,4999.474452554745,5104.20189274448,5223.511627906977,4448.758389261745,4232.378260869566,4834.090909090909,5013.011804384486,5501.829581993569,5798.462686567164,5556.799163179916,5588.4112903225805,6015.227378190255,5379.196765498652,5348.378571428571,2494.815789473684,5210.6164383561645,3013.201342281879,5297.70895522388,4843.93625498008,5178.244635193133,5542.176938369781,5619.512195121952,3599.6315789473683,4112.6821705426355,4939.536231884058,5190.571929824561,4268.3421052631575,4558.583333333333,5842.141791044776,5242.074534161491,5881.048387096775,5136.528662420382,4637.524752475248,5849.0,5530.115384615385,5145.52,6050.3125,5873.709832134293,4675.023507578101,5052.898865153538,6391.010695187166,4824.301136363636,4846.50505050505,4307.2338709677415,5197.213235294118,3821.8993710691825,4648.4473684210525,4812.0,4546.346153846154,5189.195872801082,5145.633033984856,6815.8,6358.303278688524,6373.383333333333,3400.5205479452056,4156.740740740741,4109.0,2906.4827586206898,4936.8
3691.4451650943397,3884.21261682243,4181.600340136054,4227.91492776886,4235.154166666666,4154.2266666666665,4046.993654822335,2968.114606741573,4064.75,3779.284671532847,3840.788321167883,4036.8359621451104,4290.1821705426355,3578.798657718121,3449.8565217391306,3973.489898989899,4100.9392917369305,4364.170418006431,4416.781094527363,4475.564853556485,4534.818548387097,4820.705336426914,4524.094339622641,4104.035714285715,1941.1754385964912,3875.7123287671234,2116.4563758389263,3734.85447761194,3575.163346613546,3976.802575107296,4286.79125248509,4371.674796747968,2760.657894736842,2944.7906976744184,3491.840579710145,3852.9894736842107,3139.2631578947367,3405.6736111111113,4151.320895522388,4244.857142857143,4358.645161290323,4143.414012738854,3999.5841584158416,4317.450980392156,4279.538461538462,4213.373333333333,4715.25,4777.52278177458,3796.4166408908136,4040.4210614152203,3835.898395721925,3550.931818181818,3436.252525252525,3256.0725806451615,3820.139705882353,2969.1928721174004,3567.938596491228,3591.8333333333335,3485.974358974359,3879.0443166441137,3951.924458531432,3698.295238095238,3583.94262295082,3464.1833333333334,2918.5342465753424,3169.6666666666665,3081.59649122807,2218.310344827586,2736.6
3582.954599056604,3785.13785046729,3983.423469387755,4103.036918138042,4065.241666666667,4003.928888888889,3865.049492385787,2813.229213483146,3906.5258620689656,3650.985401459854,3719.693430656934,3942.069400630915,4192.271317829457,3484.1208053691275,3372.691304347826,3892.590909090909,3936.62563237774,4157.627009646302,4173.880597014925,4308.138075313807,4378.572580645161,4632.41415313225,4459.88948787062,3971.6642857142856,1875.9561403508771,3687.6917808219177,2052.2147651006712,3553.0783582089553,3436.8525896414344,3844.3261802575107,4109.127236580517,4200.634146341464,2645.4285714285716,2844.4186046511627,3414.521739130435,3750.4947368421053,3086.4605263157896,3365.5694444444443,4063.276119402985,4170.055900621118,4159.419354838709,4026.796178343949,3933.990099009901,4132.35294117647,4118.865384615385,4093.3733333333334,4556.625,4653.103117505995,3706.162387875039,3891.207943925234,3585.823529411765,3435.880681818182,3295.3636363636365,3155.548387096774,3655.125,2915.377358490566,3467.815789473684,3467.4523809523807,3363.6153846153848,3764.6813261163734,3818.632857897517,3529.304761904762,3418.94262295082,3232.0666666666666,2887.8630136986303,3104.5185185185187,3045.1754385964914,2178.4137931034484,2692.2
3552.377358490566,3758.5023364485983,3926.6989795918366,4064.9261637239165,4011.85,3955.662222222222,3814.277918781726,2770.7842696629214,3832.7327586206898,3619.4744525547444,3675.4525547445255,3897.4447949526816,4162.7441860465115,3452.4093959731545,3354.24347826087,3864.0151515151515,3890.4991568296796,4093.051446945338,4103.114427860696,4259.234309623431,4340.258064516129,4579.241299303944,4437.226415094339,3933.457142857143,1866.4649122807018,3632.0205479452056,2029.9731543624162,3487.533582089552,3385.262948207171,3797.5965665236054,4055.3320079522864,4156.821138211382,2624.7030075187968,2820.046511627907,3352.2608695652175,3729.024561403509,3059.4605263157896,3343.6805555555557,3998.283582089552,4135.285714285715,4079.7096774193546,3977.375796178344,3910.980198019802,4039.0588235294117,4033.9615384615386,4060.12,4519.5,4624.860911270983,3678.765852149706,3849.586281708945,3491.0267379679144,3402.278409090909,3250.777777777778,3128.733870967742,3603.330882352941,2901.159329140461,3440.815789473684,3416.3333333333335,3314.102564102564,3720.3562246278757,3773.511181546047,3429.457142857143,3319.0245901639346,3131.483333333333,2887.246575342466,3096.5555555555557,3013.7017543859647,2182.0689655172414,2618.2
3543.3042452830186,3742.570093457944,3906.391156462585,4054.3210272873193,4004.233333333333,3950.9644444444443,3794.5520304568527,2718.3123595505617,3815.9224137931033,3593.7299270072995,3661.795620437956,3885.2807570977916,4152.941860465116,3447.953020134228,3342.8391304347824,3853.2020202020203,3874.097807757167,4068.376205787781,4083.1890547263683,4240.828451882845,4330.149193548387,4553.41415313225,4426.33962264151,3922.4214285714284,1855.7368421052631,3613.9520547945203,2009.7382550335572,3469.429104477612,3381.03984063745,3782.9270386266094,4038.2842942345924,4133.634146341464,2585.372180451128,2791.4573643410854,3304.1884057971015,3721.375438596491,3040.6973684210525,3330.215277777778,3974.2985074626868,4128.211180124224,4065.0806451612902,3983.624203821656,3912.3267326732675,4030.901960784314,4026.0384615384614,4045.4,4510.375,4606.848920863309,3667.616764614909,3830.4314085447263,3454.620320855615,3382.255681818182,3233.050505050505,3110.451612903226,3590.625,2884.394129979036,3420.8947368421054,3398.1666666666665,3302.9358974358975,3705.027401894452,3758.676879732347,3396.152380952381,3271.6065573770493,3106.5,2876.890410958904,3059.259259259259,2969.7017543859647,2097.551724137931,2591.6
3543.9375,3741.588785046729,3902.3061224489797,4053.4606741573034,4000.95,3949.2533333333336,3787.3718274111675,2719.5730337078653,3818.2327586206898,3595.3649635036495,3657.197080291971,3887.347003154574,4152.806201550387,3442.4161073825503,3345.5391304347827,3851.343434343434,3870.5801011804383,4063.032154340836,4073.4825870646764,4231.715481171548,4320.0,4547.690255220417,4425.099730458221,3920.2357142857145,1848.9736842105262,3615.623287671233,2009.778523489933,3469.4253731343283,3394.4501992031874,3778.978540772532,4030.558648111332,4120.642276422765,2588.2330827067667,2795.3023255813955,3311.376811594203,3708.038596491228,3041.157894736842,3344.9861111111113,3963.10447761194,4131.633540372671,4058.3064516129034,3975.9745222929937,3910.227722772277,4041.8823529411766,4043.480769230769,4051.9866666666667,4498.1875,4605.220623501199,3668.2681719764923,3828.402870493992,3440.770053475936,3365.8295454545455,3225.949494949495,3109.0564516129034,3587.6470588235293,2885.3626834381553,3427.622807017544,3394.8333333333335,3313.423076923077,3702.1681326116372,3755.6846275752773,3385.4285714285716,3257.5081967213114,3096.4666666666667,2875.821917808219,3061.4444444444443,2979.2631578947367,2134.655172413793,2580.4
3548.245283018868,3743.1892523364486,3900.28231292517,4051.5232744783307,3989.1666666666665,3942.3733333333334,3784.5710659898477,2746.206741573034,3816.0862068965516,3601.7299270072995,3663.6277372262775,3886.0347003154575,4152.298449612403,3444.6107382550335,3341.695652173913,3851.3232323232323,3868.1973018549747,4058.6334405144694,4074.63184079602,4231.502092050209,4318.7137096774195,4546.481438515081,4427.819407008086,3923.0142857142855,1848.2280701754387,3618.0616438356165,2022.9530201342282,3489.6380597014927,3402.5099601593624,3777.1201716738196,4027.7952286282307,4126.3983739837395,2592.251879699248,2795.1007751937987,3312.449275362319,3694.294736842105,3033.2236842105262,3329.1041666666665,3963.2462686567164,4134.937888198758,4053.548387096774,3980.5095541401274,3908.6534653465346,4031.921568627451,4045.096153846154,4050.7733333333335,4512.75,4609.83932853717,3666.310238168883,3829.8070761014687,3431.0320855614973,3359.4375,3218.89898989899,3102.3951612903224,3583.654411764706,2872.922431865828,3419.9210526315787,3388.7738095238096,3308.3333333333335,3702.7753721244926,3756.2746962493397,3380.2285714285713,3252.7131147540986,3087.0,2874.2328767123286,3056.814814814815,2974.0175438596493,2130.5172413793102,2593.6
3547.2688679245284,3737.25,3897.3809523809523,4048.2439807383626,3990.0958333333333,3940.0266666666666,3777.9327411167515,2743.7348314606743,3813.956896551724,3592.4817518248174,3659.036496350365,3883.5520504731862,4150.961240310077,3442.731543624161,3339.917391304348,3844.838383838384,3861.5969645868468,4052.935691318328,4065.6517412935323,4229.238493723849,4316.846774193548,4538.192575406032,4423.33153638814,3914.9857142857145,1846.5350877192982,3611.0,2023.1140939597315,3502.791044776119,3413.2868525896415,3768.459227467811,4022.4473161033798,4127.780487804878,2590.657894736842,2794.906976744186,3324.478260869565,3696.821052631579,3038.75,3327.472222222222,3966.007462686567,4126.565217391304,4054.6774193548385,3980.108280254777,3903.3762376237623,4048.372549019608,4053.2884615384614,4050.346666666667,4506.0,4591.78896882494,3663.3745746984223,3825.6228304405877,3427.181818181818,3359.5852272727275,3209.7676767676767,3100.4596774193546,3576.4411764705883,2874.9140461215934,3419.254385964912,3389.1428571428573,3306.102564102564,3701.450608930988,3753.748019017433,3373.4380952380952,3249.6393442622953,3086.2166666666667,2867.205479452055,3053.703703703704,2983.122807017544,2130.0689655172414,2577.0
3547.5029481132074,3740.0070093457944,3886.3197278911566,4040.800963081862,3982.8083333333334,3937.911111111111,3777.8857868020305,2751.543820224719,3821.0258620689656,3583.3357664233577,3655.883211678832,3884.684542586751,4147.631782945737,3438.489932885906,3341.560869565217,3847.9949494949497,3859.6610455311975,4052.7845659163986,4061.955223880597,4230.7531380753135,4317.991935483871,4537.820185614849,4422.986522911051,3904.95,1850.877192982456,3603.0342465753424,2023.6845637583892,3488.033582089552,3381.6932270916336,3770.532188841202,4018.604373757455,4125.983739837398,2603.7443609022557,2805.248062015504,3330.478260869565,3692.866666666667,3050.2236842105262,3332.534722222222,3970.0746268656717,4120.459627329193,4053.2580645161293,3980.3057324840765,3899.4356435643563,4043.156862745098,4034.7884615384614,4055.306666666667,4489.0625,4590.63309352518,3661.245283018868,3823.832443257677,3427.9893048128342,3360.9602272727275,3214.6464646464647,3103.4435483870966,3578.0367647058824,2884.2285115303985,3420.90350877193,3384.0476190476193,3301.474358974359,3700.9110284167796,3752.4558901215005,3374.038095238095,3260.4262295081967,3092.233333333333,2880.3150684931506,3094.259259259259,2999.245614035088,2183.0,2596.8
3546.3744103773583,3735.404205607477,3877.093537414966,4036.6436597110755,3978.045833333333,3930.4844444444443,3770.729695431472,2752.6853932584268,3810.362068965517,3582.189781021898,3645.905109489051,3876.9369085173503,4139.065891472868,3432.8053691275168,3339.282608695652,3838.843434343434,3855.752107925801,4046.6752411575562,4053.3980099502487,4220.987447698745,4302.955645161291,4528.205336426914,4415.474393530997,3903.385714285714,1849.9561403508771,3589.801369863014,2025.7919463087248,3480.3582089552237,3384.1513944223107,3765.3004291845496,4013.3658051689863,4121.243902439024,2607.3571428571427,2798.7596899224804,3328.0,3676.024561403509,3035.6184210526317,3325.0208333333335,3963.1194029850744,4121.478260869565,4063.7741935483873,3967.3630573248406,3903.5346534653463,4046.5098039215686,4037.75,4029.213333333333,4486.1875,4589.659472422062,3658.2573461181564,3817.9938251001336,3429.7219251336896,3350.744318181818,3204.4848484848485,3090.2258064516127,3566.25,2878.723270440252,3400.035087719298,3384.9880952380954,3290.8846153846152,3696.9617726657643,3747.7980278217997,3372.9333333333334,3244.1803278688526,3086.7,2877.6438356164385,3076.5185185185187,2990.1052631578946,2175.206896551724,2589.0
