Substantia Nigra Right,Substantia Nigra Left
560.0,456.5
538.0,452.5
527.5,427.5
544.0,458.5
535.5,447.5
554.5,416.5
534.0,457.5
530.0,454.5
541.5,435.0
539.5,448.0
538.0,441.5
539.5,448.0
534.5,454.0
542.5,444.5
541.5,448.5
540.5,452.5
539.5,439.5
559.5,446.5
528.5,464.0
531.5,443.5
555.5,470.0
523.5,436.5
535.0,456.5
531.5,452.5
515.5,460.5
538.5,441.5
540.0,451.0
531.5,467.5
528.5,446.5
535.5,469.5
548.5,469.5
543.5,454.5
539.0,470.5
539.0,452.5
540.5,482.0
530.5,449.0
536.0,451.0
528.5,470.5
549.5,441.0
529.5,455.5
540.5,474.5
532.0,469.5
529.5,444.5
536.5,480.5
538.0,446.0
527.0,453.0
527.0,479.0
535.0,484.0
550.5,455.0
529.0,449.5
531.5,487.5
529.0,461.0
550.5,459.5
533.0,465.0
516.5,449.5
540.5,454.0
534.5,469.0
516.5,467.0
537.0,464.0
534.5,479.5
539.5,479.0
540.0,459.5
533.5,457.5
531.0,482.5
541.5,457.0
545.0,470.0
562.5,487.0
538.0,464.0
551.5,453.5
545.0,483.0
544.0,481.0
545.0,455.0
544.0,474.0
549.0,480.0
536.5,460.5
540.0,457.0
565.0,464.5
546.5,457.5
558.5,477.0
552.0,461.5
546.0,467.5
545.0,461.5
531.0,464.0
550.5,445.5
552.5,464.5
559.5,471.5
548.5,442.5
550.0,475.5
543.0,459.0
536.5,457.0
556.0,458.5
555.5,457.5
556.0,450.5
560.0,456.0
552.5,474.5
563.0,458.0
558.5,473.0
541.5,464.5
546.0,455.5
562.0,471.0
540.5,455.5
534.0,457.5
546.5,448.5
539.5,444.5
558.0,434.5
543.5,439.0
542.5,441.5
545.0,450.5
539.0,455.0
547.0,455.0
547.0,459.5
531.0,459.5
549.5,464.0
542.0,481.0
525.5,478.5
549.0,469.0
548.5,475.5
534.0,481.0
554.5,477.0
548.0,473.0
529.0,469.5
551.0,464.0
557.0,471.0
539.0,486.0
555.0,467.0
551.0,473.0
549.0,478.5
555.0,463.0
562.5,467.0
545.5,478.5
547.5,468.0
558.5,472.0
537.0,477.5
547.0,464.0
558.5,477.0
547.5,487.0
541.5,494.0
549.5,480.0
546.0,472.5
529.5,475.0
564.0,464.0
540.0,487.5
536.0,482.5
536.5,470.5
538.5,468.5
533.5,475.0
537.0,446.5
541.0,460.0
545.5,464.0
543.0,462.5
543.5,462.0
553.5,452.5
552.5,458.5
539.0,454.0
557.0,441.0
570.0,457.5
543.5,463.0
549.5,459.0
546.0,455.0
572.5,476.0
543.0,478.0
541.0,483.0
553.0,472.0
539.5,488.0
556.5,494.5
554.5,474.0
547.0,482.0
543.5,471.5
542.0,463.5
554.5,458.5
555.5,460.0
563.0,471.5
550.0,473.5
568.0,478.0
550.5,480.0
551.0,479.5
530.5,472.0
542.0,482.0
543.5,456.5
553.0,481.5
553.0,463.5
553.0,478.5
564.0,464.5
557.0,491.5
553.0,480.0
548.5,463.5
548.5,488.5
542.0,480.0
545.0,472.5
549.5,463.0
541.5,453.5
553.0,456.5
547.5,448.5
548.0,455.5
557.5,466.0
558.5,450.5
557.5,468.5
553.0,479.5
557.0,462.0
558.0,487.5
548.0,490.0
554.5,459.0
557.5,493.5
552.0,473.5
546.0,466.0
557.0,487.0
538.0,486.0
549.5,464.0
553.0,481.5
553.5,471.5
563.0,475.5
551.5,449.0
545.5,451.0
550.0,463.5
561.5,465.5
558.5,486.0
533.5,487.0
548.5,482.5
552.0,485.0
549.0,485.5
556.5,472.5
555.5,477.5
555.0,469.0
553.0,461.5
546.5,477.5
553.0,460.0
566.0,465.0
563.5,456.5
552.0,471.5
556.0,466.5
546.5,470.0
547.0,481.0
543.5,482.0
563.0,476.0
552.5,484.0
549.0,488.5
550.0,478.0
554.0,488.0
563.0,490.0
550.0,459.0
562.5,484.5
543.5,471.0
548.0,481.5
567.5,467.5
550.5,466.0
563.5,470.0
560.0,453.5
552.0,479.5
542.0,469.0
562.0,471.0
548.0,486.5
559.0,487.0
556.0,479.5
562.0,467.5
560.0,506.5
544.0,491.0
552.5,472.5
560.0,478.5
550.5,487.5
559.0,472.5
549.5,473.5
552.0,474.0
554.5,468.0
570.0,467.5
555.0,482.0
555.5,466.0
558.5,454.5
557.5,469.0
566.0,475.5
552.0,461.5
553.5,479.5
561.5,478.5
566.0,473.0
550.5,483.0
552.5,469.0
553.0,473.5
569.0,479.5
557.5,483.0
567.0,472.5
552.5,472.0
545.5,495.0
546.0,479.0
564.5,487.0
558.5,490.0
557.0,477.5
561.0,487.5
557.5,485.0
563.0,477.5
547.0,480.5
564.0,490.0
560.0,501.5
567.0,496.0
563.5,492.0
544.0,510.0
555.5,499.5
541.5,490.0
548.5,497.0
557.0,478.5
565.5,481.0
557.0,475.0
