Substantia Nigra Right,Substantia Nigra Left
515.0,577.0
521.0,610.6666666666666
515.0,544.0
507.5,560.6666666666666
519.0,596.0
519.0,575.0
514.5,546.6666666666666
517.0,575.3333333333334
511.5,571.3333333333334
518.0,542.3333333333334
521.0,588.3333333333334
508.5,548.3333333333334
511.5,577.0
522.5,616.0
511.0,529.0
527.5,579.0
518.0,594.6666666666666
508.5,544.6666666666666
521.5,570.3333333333334
517.5,589.0
502.5,533.0
521.5,564.6666666666666
524.5,603.0
510.5,527.3333333333334
518.5,572.0
517.0,619.0
510.0,532.6666666666666
520.5,566.6666666666666
518.0,621.0
505.5,530.3333333333334
515.0,575.0
510.5,615.3333333333334
507.0,534.6666666666666
519.0,568.3333333333334
516.0,570.6666666666666
512.5,551.3333333333334
525.5,571.0
514.5,565.3333333333334
506.5,570.0
515.0,575.0
519.0,597.0
509.5,551.0
522.5,585.0
525.0,603.3333333333334
507.5,543.6666666666666
518.0,568.6666666666666
510.0,609.0
512.0,568.0
523.0,615.3333333333334
518.0,611.0
511.0,522.3333333333334
520.0,578.0
518.0,605.6666666666666
505.5,540.3333333333334
520.0,596.6666666666666
511.0,522.3333333333334
523.5,568.6666666666666
517.5,586.3333333333334
506.5,546.3333333333334
522.5,589.3333333333334
520.0,559.3333333333334
507.5,563.0
524.5,588.3333333333334
519.5,558.3333333333334
510.5,555.0
522.5,578.3333333333334
515.0,548.3333333333334
510.5,590.3333333333334
523.5,601.0
513.5,539.6666666666666
507.5,574.3333333333334
523.0,590.0
505.5,561.6666666666666
511.5,564.6666666666666
524.5,600.3333333333334
518.0,541.6666666666666
511.0,566.6666666666666
523.5,621.6666666666666
515.5,530.0
518.0,577.3333333333334
522.5,623.0
509.5,524.6666666666666
524.0,579.0
513.5,590.3333333333334
510.5,549.3333333333334
518.0,576.6666666666666
518.0,568.0
510.5,546.0
528.5,572.0
516.0,584.6666666666666
508.0,527.3333333333334
524.0,573.0
517.5,575.0
509.0,540.6666666666666
521.5,572.3333333333334
519.5,578.6666666666666
507.0,537.0
529.5,577.6666666666666
513.5,577.0
508.0,539.3333333333334
524.5,587.0
519.5,574.3333333333334
506.5,525.0
523.0,580.3333333333334
508.5,564.6666666666666
509.5,512.3333333333334
520.5,581.6666666666666
516.5,598.3333333333334
505.5,519.0
519.0,576.6666666666666
526.5,600.0
514.5,520.0
524.0,580.0
522.0,601.3333333333334
516.5,513.0
528.0,585.6666666666666
517.5,593.6666666666666
504.5,521.6666666666666
523.5,576.0
511.0,566.3333333333334
509.0,535.0
526.5,591.6666666666666
517.0,570.3333333333334
513.0,542.3333333333334
524.0,577.3333333333334
520.0,595.0
513.5,563.0
513.5,555.0
520.0,584.6666666666666
506.5,562.3333333333334
511.0,553.6666666666666
526.5,589.0
516.0,577.6666666666666
513.0,550.0
521.0,614.0
517.5,587.0
511.0,551.3333333333334
514.5,579.3333333333334
518.0,554.6666666666666
511.5,570.6666666666666
521.5,609.3333333333334
513.0,509.3333333333333
526.0,568.6666666666666
517.0,561.0
522.0,566.3333333333334
524.0,611.0
510.0,524.6666666666666
516.0,580.0
527.5,611.3333333333334
507.5,525.3333333333334
512.5,594.0
525.5,593.6666666666666
507.5,520.3333333333334
529.0,578.0
514.5,573.3333333333334
507.0,554.3333333333334
524.0,599.0
510.5,548.0
508.0,559.3333333333334
518.5,601.6666666666666
518.0,546.0
515.5,558.3333333333334
521.0,607.6666666666666
517.5,569.6666666666666
508.5,550.6666666666666
531.5,586.0
520.0,576.6666666666666
514.0,548.6666666666666
520.0,589.3333333333334
512.5,553.3333333333334
508.0,548.6666666666666
525.5,608.0
522.5,542.6666666666666
511.5,571.0
516.0,616.0
515.5,532.6666666666666
508.5,571.3333333333334
524.0,592.6666666666666
514.0,534.3333333333334
512.5,568.6666666666666
530.5,576.0
517.5,569.3333333333334
505.5,558.3333333333334
523.0,594.0
514.5,536.6666666666666
518.5,587.6666666666666
524.0,597.3333333333334
501.5,522.3333333333334
530.0,588.6666666666666
512.5,572.6666666666666
511.0,536.0
531.5,580.0
517.0,574.3333333333334
504.0,539.3333333333334
524.0,575.0
524.0,578.3333333333334
501.5,520.3333333333334
523.5,583.6666666666666
514.5,577.0
506.5,517.6666666666666
520.0,587.3333333333334
517.0,597.6666666666666
505.5,515.6666666666666
525.0,561.3333333333334
528.0,583.3333333333334
516.0,545.3333333333334
513.5,555.6666666666666
534.0,577.6666666666666
515.0,581.3333333333334
515.5,525.6666666666666
520.0,566.3333333333334
519.5,583.6666666666666
509.5,511.6666666666667
521.0,577.3333333333334
530.0,586.0
508.0,514.6666666666666
527.5,576.6666666666666
518.0,579.0
505.5,544.6666666666666
533.0,569.3333333333334
516.0,537.0
509.5,564.0
527.0,586.3333333333334
511.5,529.6666666666666
506.5,555.3333333333334
522.0,577.6666666666666
516.5,555.0
514.0,520.0
533.0,570.3333333333334
524.5,576.6666666666666
508.5,520.6666666666666
523.5,568.6666666666666
519.0,574.3333333333334
505.0,522.0
522.0,569.3333333333334
520.5,581.6666666666666
514.5,515.3333333333334
528.0,572.3333333333334
522.0,587.6666666666666
514.0,515.6666666666666
521.5,572.6666666666666
522.5,583.0
516.5,509.0
521.5,564.3333333333334
519.0,594.0
522.5,522.6666666666666
521.5,565.0
526.0,589.6666666666666
510.5,533.6666666666666
513.0,560.3333333333334
527.0,581.6666666666666
530.0,566.6666666666666
514.5,509.6666666666667
520.0,566.0
525.5,594.0
512.5,519.3333333333334
511.5,571.3333333333334
519.5,599.3333333333334
509.5,534.3333333333334
513.0,569.6666666666666
522.0,601.0
509.5,513.0
514.5,564.3333333333334
521.0,605.0
516.5,521.6666666666666
513.0,561.6666666666666
521.0,602.6666666666666
518.5,524.6666666666666
512.5,561.3333333333334
515.5,611.0
513.5,550.3333333333334
512.5,546.3333333333334
521.0,598.3333333333334
523.0,557.0
511.0,517.6666666666666
535.5,573.6666666666666
531.0,580.0
510.5,536.6666666666666
514.0,554.0
524.0,590.0
517.5,588.0
507.0,514.0
519.0,586.3333333333334
524.5,597.3333333333334
516.5,526.6666666666666
510.5,576.0
519.5,585.6666666666666
511.0,532.6666666666666
515.5,572.3333333333334
528.5,594.3333333333334
517.5,535.3333333333334
513.0,568.6666666666666
527.5,598.6666666666666
514.5,533.3333333333334
513.5,561.3333333333334
523.0,606.0
518.5,545.6666666666666
503.0,551.3333333333334
526.5,603.6666666666666
523.0,554.6666666666666
