Substantia Nigra Right,Substantia Nigra Left
716.0,691.0
729.5,697.5
726.0,698.5
705.5,691.5
732.5,699.5
733.5,696.5
724.5,699.0
740.5,702.0
727.5,707.0
729.0,702.0
739.5,693.5
733.5,704.0
717.5,690.0
739.0,720.0
737.0,693.5
716.0,695.5
742.0,698.5
748.5,707.0
729.0,690.0
724.5,716.0
735.5,692.5
743.0,691.5
729.5,705.5
726.0,703.0
749.5,692.0
746.0,703.0
734.0,701.0
719.0,695.0
739.5,710.5
732.5,705.0
736.0,703.5
728.5,695.5
742.0,707.0
737.0,715.0
737.0,701.0
723.5,708.0
749.5,703.5
745.5,704.5
729.0,703.5
734.5,709.5
714.5,704.5
752.5,715.5
743.5,715.0
715.5,707.0
741.0,721.5
725.0,702.5
723.5,709.0
743.0,721.5
736.5,707.0
729.5,694.5
745.0,722.5
749.0,713.5
733.0,693.0
747.5,709.0
743.5,695.0
746.0,707.0
737.0,719.5
730.5,703.0
743.5,712.0
744.0,716.5
727.5,700.0
734.0,709.0
732.0,715.5
739.5,706.0
748.0,698.5
731.0,715.5
735.0,705.0
736.0,713.5
723.0,686.0
746.0,707.0
718.0,705.5
725.5,712.0
733.0,720.0
726.0,699.5
748.5,719.5
740.5,717.5
734.5,703.5
762.0,710.0
739.0,714.0
748.0,706.0
735.0,710.5
737.5,722.5
733.5,701.0
746.5,716.0
726.0,737.5
739.5,722.0
748.5,733.0
740.0,706.5
734.5,711.0
732.0,716.5
728.0,709.0
743.5,709.5
728.0,710.5
740.0,705.0
736.0,705.0
736.5,706.0
753.5,708.5
739.0,723.0
737.0,712.5
743.0,713.0
728.0,713.5
727.5,694.0
723.5,694.5
733.5,701.0
728.5,701.0
709.0,687.0
720.0,704.0
729.0,686.5
736.5,717.5
732.0,696.0
709.5,704.0
726.0,708.5
734.0,684.0
738.5,701.5
733.0,701.0
705.5,688.5
725.5,697.5
729.0,692.5
703.0,711.5
721.5,682.0
726.5,680.5
731.5,697.0
732.0,716.5
718.5,687.0
738.0,682.5
748.5,673.0
704.0,695.0
733.0,681.5
725.0,689.5
727.5,681.0
722.5,693.0
730.5,693.5
736.5,690.0
736.0,675.0
730.5,712.5
732.0,690.0
732.0,696.5
708.0,704.0
718.0,686.0
726.0,674.5
716.0,651.0
723.5,673.0
690.0,638.0
723.0,667.5
710.0,699.5
694.0,706.5
708.0,694.5
706.5,702.5
704.5,703.5
721.0,712.5
708.0,703.0
714.0,701.5
708.0,695.0
725.5,708.0
727.0,698.5
717.0,724.0
719.5,718.5
736.5,717.5
696.0,705.5
728.5,714.0
730.5,719.0
726.0,713.0
702.5,705.0
717.0,705.5
719.5,709.0
714.5,704.0
718.0,708.0
730.5,709.0
712.0,710.5
717.5,704.5
724.0,695.0
725.5,717.5
737.0,697.0
712.5,706.5
711.0,723.0
724.0,709.5
730.5,687.0
716.0,687.5
722.0,696.0
727.0,705.5
716.5,700.0
741.5,702.0
725.0,694.5
726.5,701.5
727.0,687.5
733.0,717.0
725.0,689.0
749.5,709.5
737.5,727.0
733.0,691.5
716.5,679.5
738.0,689.5
725.0,703.0
734.0,702.5
735.0,702.5
736.5,688.5
749.0,707.5
741.0,705.5
725.0,705.0
729.5,699.0
739.5,708.0
730.0,709.5
741.0,689.0
744.5,701.0
735.0,691.0
749.0,691.0
731.5,711.0
746.0,707.0
741.0,715.5
739.0,706.5
740.5,704.5
743.0,692.0
746.5,701.5
735.5,696.0
724.0,682.0
727.0,708.0
738.0,708.5
737.0,701.0
746.5,693.0
736.5,678.0
721.0,705.5
733.0,708.0
738.0,701.5
728.0,722.0
724.0,682.5
743.0,707.0
729.5,722.5
743.5,722.0
738.0,710.0
732.0,724.5
732.0,714.0
736.0,703.5
734.0,711.5
724.0,711.5
742.5,683.0
734.0,713.0
745.0,694.0
745.0,702.0
725.5,694.5
729.5,679.0
730.0,687.0
724.0,686.0
734.5,695.0
724.5,687.5
730.5,705.0
744.5,697.0
725.5,703.5
724.5,699.5
731.5,697.5
721.0,692.5
727.5,706.0
734.5,685.5
742.5,686.0
727.0,693.5
718.0,696.5
731.5,688.5
738.0,686.5
723.5,683.0
737.5,705.0
725.5,689.5
742.0,671.5
726.5,704.0
730.5,671.5
738.0,675.0
717.0,680.0
716.0,671.5
727.0,688.0
719.0,673.0
720.0,689.0
721.5,691.5
733.0,670.0
705.5,665.0
717.5,659.0
719.0,645.0
704.0,672.0
708.0,669.0
711.5,676.0
713.0,662.0
723.0,682.0
705.0,672.0
737.5,673.0
710.5,672.0
694.5,653.5
707.5,665.0
694.0,665.5
726.5,681.5
703.0,665.5
726.0,668.5
716.0,665.0
694.5,681.0
702.5,670.5
714.0,677.5
687.5,670.0
721.5,664.5
678.5,660.5
730.0,671.0
707.5,658.0
707.0,671.0
699.5,669.5
701.0,654.0
