Substantia Nigra Right,Substantia Nigra Left
471.5,367.0
472.5,371.0
465.5,376.5
473.5,372.0
462.5,369.5
477.0,363.5
471.5,361.0
451.0,361.0
455.0,366.0
456.0,370.0
455.0,369.5
458.5,362.5
469.0,373.5
456.0,360.0
448.5,356.5
453.5,364.0
459.0,368.0
459.0,372.0
461.0,371.0
438.5,354.5
443.0,362.0
452.0,371.0
462.0,365.0
456.0,374.5
453.0,358.5
455.0,359.0
450.0,359.5
457.0,364.5
456.0,364.5
454.0,361.0
452.0,359.0
439.0,359.0
445.0,363.0
448.0,374.5
455.5,368.0
444.5,364.5
444.5,360.0
448.5,365.5
440.5,365.5
449.0,364.5
453.0,370.0
454.0,365.5
431.0,367.0
437.5,370.5
445.5,366.5
447.0,356.5
454.5,373.5
432.5,360.0
440.5,377.5
451.0,358.5
449.5,363.0
448.5,366.0
436.0,363.5
432.5,371.5
452.5,371.0
451.5,360.5
447.5,366.5
443.0,359.5
435.5,361.5
439.0,362.5
434.5,370.5
448.5,367.0
452.0,365.0
444.5,372.5
426.5,371.0
429.5,367.0
436.0,370.5
448.0,371.5
448.0,372.0
447.0,365.5
431.5,357.5
443.0,366.5
440.5,372.0
453.5,374.0
443.0,366.5
428.5,358.0
431.5,373.0
436.0,367.0
439.5,364.5
451.5,371.5
435.0,368.0
422.5,363.0
430.0,368.5
437.0,370.0
440.5,371.5
429.0,357.5
423.5,364.0
436.5,370.5
436.0,371.5
442.0,364.5
431.5,373.5
421.0,376.0
436.5,368.5
431.5,372.5
432.0,371.0
446.5,372.5
425.5,368.0
420.0,364.5
428.0,370.0
439.0,373.5
432.5,367.5
440.0,371.5
432.0,376.5
418.5,368.5
428.5,384.5
438.0,369.5
442.0,373.0
423.5,368.5
421.0,373.5
435.5,372.5
437.5,371.0
437.0,377.5
427.0,368.0
421.5,373.0
432.0,367.0
431.5,377.0
440.5,370.5
426.0,368.5
407.5,380.5
419.0,383.5
436.0,380.5
441.5,381.0
419.5,377.0
417.5,372.5
423.5,380.0
417.5,381.5
423.0,389.0
433.0,380.5
408.5,379.0
413.0,375.5
426.5,378.5
419.5,390.0
420.5,386.5
424.5,384.0
411.5,375.5
426.0,385.5
429.0,389.0
434.0,387.0
418.0,384.5
410.5,377.5
434.5,386.5
423.0,390.0
420.0,387.0
423.5,381.0
403.0,378.0
415.0,378.5
417.5,376.0
419.5,388.5
417.5,389.5
416.5,385.5
425.0,393.5
432.5,388.0
421.0,392.5
415.0,380.0
417.5,392.0
418.5,392.5
412.5,394.5
409.5,388.5
413.0,388.5
402.0,389.5
417.5,403.5
424.5,381.0
414.5,389.0
408.0,392.0
398.0,379.5
412.0,400.0
410.0,392.5
415.5,390.0
413.0,393.5
404.5,388.0
409.5,396.0
420.0,389.0
415.0,396.0
402.5,392.0
395.5,388.5
397.5,395.0
411.0,399.5
416.0,396.5
423.5,395.5
406.0,392.5
403.5,386.0
413.0,405.5
407.5,397.0
418.5,390.0
417.0,388.5
400.0,382.5
413.5,403.5
418.5,395.0
415.5,396.5
410.5,387.0
402.0,384.0
404.5,394.0
408.5,400.5
413.0,393.5
414.0,397.5
422.0,395.5
403.5,396.0
413.0,405.5
412.0,394.5
414.5,403.5
410.0,399.0
408.5,390.0
402.0,390.0
410.0,399.5
419.0,398.5
427.5,400.5
403.5,400.5
400.5,388.5
409.0,396.0
407.0,404.5
426.5,396.5
422.5,397.5
407.5,400.5
414.5,391.5
407.0,391.5
408.5,403.0
418.0,397.0
421.5,391.5
415.5,393.5
415.0,390.0
415.0,404.0
410.5,404.5
408.5,392.5
403.5,391.0
408.5,393.5
411.5,387.0
410.5,399.0
422.5,393.5
416.5,408.5
408.5,394.5
413.0,394.5
412.5,388.0
422.0,403.5
419.0,391.5
416.0,405.0
411.5,399.0
409.5,394.5
406.0,391.5
412.5,398.0
414.5,401.5
411.0,400.0
404.0,400.0
408.5,396.0
401.5,390.0
419.0,396.5
408.0,404.5
413.5,404.0
413.0,400.5
411.0,392.5
402.5,395.0
409.5,403.5
409.5,391.0
412.0,397.5
399.5,390.0
404.0,403.0
403.0,380.5
407.0,397.5
410.5,395.5
409.0,392.0
396.0,403.5
399.5,389.0
406.0,383.5
408.0,396.0
400.5,385.0
404.0,395.5
414.5,392.0
404.0,382.5
398.5,385.5
417.5,386.0
403.0,384.5
394.0,391.0
401.5,397.0
403.0,379.5
400.0,383.5
402.5,394.0
399.5,389.5
399.0,386.0
394.5,375.5
393.0,388.5
400.5,380.0
393.0,387.5
407.0,381.0
398.5,388.0
400.0,391.5
393.0,384.0
393.5,374.5
390.5,379.5
399.5,377.5
402.0,383.0
390.5,376.0
400.0,380.5
390.5,373.5
390.5,370.0
393.5,372.5
396.5,381.5
390.0,389.5
397.0,380.0
398.0,388.5
408.0,371.5
399.5,382.0
