Subject,Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens
sub-0270,0.007361203987676955,0.004122707778398031,0.0033772814965019765,0.0035264782221146713,0.004109014347925343,0.004508682808686945,0.0032867156447452302,0.006440977797685251,0.0048204578293852066,0.0042802502403836715,0.004419460969346682,0.004063947884561589,0.003273893414565901,0.006637244779529929,0.02328873660456934,0.0026811551641194088,0.003127730808500118,0.003029794482602251,0.0036508187531150565,0.003340561707435855,0.0034048361239522977,0.003406730145790052,0.0032555753742040798,0.00640448936927533,0.010207357360905464,0.004152396768558714,0.018896137079115666,0.00421385273876725,0.006010774231292146,0.0036197697614339646,0.004620077827579914,0.006391358159268019,0.013185607783093087,0.008472510392383083,0.008238235396039992,0.005413575396467441,0.008607161237346467,0.016572277138395958,0.003368175375311406,0.004857546908312599,0.007904725973800581,0.012375624004196615,0.010389198958307325,0.006183844558067256,0.004952179902349625,0.007042481103653408,0.008110887451224324,0.0036407318622177077,0.0036962423276224086,0.0033463551571180274,0.007771604267048313,0.0052791101890148,0.008432889075166839,0.0055873491072817305,0.004703256858075433,0.005634890243966369,0.005861071400760222,0.007640940363619888,0.005682797448506506,0.003499353592143087,0.0035076203837454568,0.0033671837470820314,0.00580752128544496,0.012132635314709655,0.007269786441704668,0.016889257396761392,0.013879144612837586,0.026816119898952506,0.07131301073804569
sub-0205,0.015796781821702417,0.018319210942470555,0.022377664148225312,0.019798827025327783,0.01988658748987319,0.016705964977984572,0.01904530630608233,0.01823057395510747,0.020285270981702665,0.016500832715478662,0.02272443557403246,0.020058862380291264,0.014375880202718218,0.024384579258237594,0.01756341920947836,0.015015235116808676,0.02242804049431387,0.025337602413392328,0.023224132802433354,0.020778646335559422,0.018675024469493595,0.023893658482219894,0.017548888118314968,0.01893090957338265,0.02610492403147078,0.02558995395483742,0.031608186676216385,0.026579557576769757,0.03240502801975575,0.01816146035540205,0.01903101517248138,0.022229375217639673,0.02204734224730863,0.024725686742421978,0.031984596734040714,0.02583008925799648,0.028161455140284737,0.01978659931734708,0.01819606599894908,0.010593579255530193,0.015293225854134094,0.016157199553524883,0.01182436443529847,0.020387365888771866,0.018963438807487396,0.01706920163392874,0.022839400259550266,0.03194472273640689,0.014900862122658865,0.020340551971985768,0.042187147619143675,0.04361282643332623,0.026066054446451315,0.023572274097939033,0.02138804227745861,0.032502130331338655,0.031592853251443016,0.022017862639728034,0.01800867692641843,0.02304870420084945,0.01984305711536027,0.04910144508494404,0.05402755689541572,0.06010319314167943,0.018754770929701632,0.014705915504584962,0.025464769242035237,0.028862549277105857,0.07059023402039245
sub-0231,0.00476016840415312,0.004682428200928587,0.006064882794340616,0.004986667529246841,0.006064502798784611,0.006556297336300378,0.006050896227824017,0.003976677837386994,0.005636452804431615,0.005840516492806171,0.004864286648761642,0.004539203593484899,0.005792778761056788,0.005592040005407365,0.007204426441815612,0.01377856494102457,0.015200121243370574,0.01912035026325386,0.011122155048982089,0.011497026102356688,0.009488867611364846,0.014866283635797645,0.007504456348174077,0.0065809425759714175,0.016875608535749296,0.0083298777126953,0.004858490304288741,0.005919787345146979,0.007521334939055918,0.006620230706641739,0.010935555125479501,0.011458751879200958,0.004920158684952977,0.009755401049020762,0.005898421799730368,0.009297854029941212,0.006469111654907633,0.005819415650146464,0.007403923686663091,0.013649357732896375,0.008563665508331037,0.005671779422287188,0.0055526363885717925,0.005315643217500156,0.006717994380399435,0.0065008159313757995,0.022517242120979702,0.02464005452267336,0.005698527567310295,0.007124878561092727,0.004839857988245176,0.006288493076022687,0.008371568623507927,0.006108080447184907,0.009717773078167208,0.008037451337609386,0.005422200724198396,0.0132875324034796,0.00903506435665094,0.0049629957307053794,0.005630082393024259,0.005001560668715012,0.006166954357588902,0.011677281237779717,0.0029624061789508232,0.006407842440303707,0.005816987797092087,0.019217412552670197,0.017145352158613694
sub-0240,0.006935601872231233,0.007587184417458001,0.006875508468104328,0.0066157852463675105,0.007495709581262665,0.006326388488322353,0.005462937090170554,0.010617347840115381,0.007099985240796282,0.008672030125910914,0.008555287186655732,0.00715211911986332,0.007768382425564341,0.009056959628964393,0.0114325396868481,0.009022845054102259,0.006045215810157709,0.00889929422407655,0.006796881749307741,0.006972977521408106,0.007450084978717038,0.010956405431275667,0.009689313832080299,0.006300209993395834,0.007888524734676742,0.007056531720594804,0.004602855576092871,0.007178327880039167,0.006246602728077352,0.0071220684374802366,0.008693694386454853,0.00889983751024862,0.007806622557158862,0.012512764226579608,0.009298515486914415,0.007408133887771972,0.01531945790778702,0.0072751266693494646,0.009319318686490965,0.012239767758019606,0.009732838971406537,0.008078711814772568,0.00781119912835001,0.008083284264739917,0.009488681026905928,0.005580256794023125,0.010720334722598661,0.016126227372839665,0.005855630043085831,0.0081862921881418,0.00807460190257531,0.006659895939145706,0.011463415932556424,0.012058258930867021,0.010561206401955512,0.007170804750416317,0.010429841186473108,0.011168743812349282,0.010410138283211487,0.005356975630918768,0.006635988776636624,0.006510013526698587,0.0062846023418006635,0.007419747888826989,0.0042510092734822005,0.005474060656448852,0.0063726256788808255,0.011000665051032085,0.01819779792826442
sub-0238,0.004007733309747136,0.0031261399898764434,0.0033511324502734775,0.00357980539980593,0.004474729277561351,0.003954172363221742,0.0034409007307292802,0.00702993289466466,0.0033727778656100363,0.0032510762660293248,0.004576740684580325,0.0065047619862825075,0.003793814040466877,0.0058252404209188325,0.003309694570035931,0.006057469414502064,0.005023270045015231,0.009304461563418217,0.005669332733410408,0.006085617522903947,0.006191319991344073,0.007608560262119807,0.007694691581431057,0.0033880710404669947,0.009579266272389562,0.0037731450636809536,0.00475831740370943,0.0038435569449119544,0.0026252613525867404,0.0037981980394472523,0.004926588622372903,0.004702059272149503,0.005010088912392247,0.007117842477819548,0.003961916041653141,0.0038763755046332168,0.013886655442882362,0.0043735410174348755,0.00387165178008185,0.006591777512922711,0.006048398330662215,0.0031000664268916204,0.0032326803079999766,0.0038295664944474816,0.0034542937761355657,0.0033823484313723613,0.0061244926321973574,0.012235997563262338,0.003005442797209049,0.0035289341279344305,0.0043321810395333445,0.004434216115817453,0.003918224552083686,0.0038337469564148547,0.006614693240759323,0.008684089504612337,0.004721299199718344,0.006765806123327871,0.006206762822985136,0.003165742162406082,0.004255516300501048,0.003353526680300826,0.004242745420965617,0.0058061699747700216,0.0024144535121394814,0.004006832164046761,0.004252604862807718,0.009129120193161065,0.00610240984767649
sub-0252,0.00411610241816694,0.002861871237084636,0.0022636802172842376,0.004616217062395896,0.0038960779382854905,0.0049640387350068415,0.004255411693072165,0.006835148625307952,0.0055715465288672045,0.006143279560141706,0.005790592477765918,0.007127865653757127,0.005816994524649969,0.007555023403463003,0.02329578660662274,0.010253695199993505,0.003278409540522955,0.004894042793657477,0.007808421375626391,0.00607039738717359,0.005076449400955222,0.006016213674580448,0.007485336456515142,0.006468203230175698,0.008145791179805342,0.003162672588832586,0.016692410866357737,0.00350883447274304,0.0033731577954060872,0.0062996986011651,0.004116134538269174,0.007673524680098055,0.01105345216109378,0.014456307245397863,0.006769225502231198,0.007622609845893932,0.006861598395480992,0.010964900645392538,0.004528745397025704,0.008697420386270978,0.0036854590072381665,0.004482003105351323,0.0037438250454782085,0.006619233507646779,0.007551776584289773,0.006582558922272691,0.009040906627697876,0.007116058900300638,0.00325587906323579,0.0058227359710969,0.004242618816175905,0.004609194539139807,0.005190230670066444,0.008672164604243951,0.003360661003700354,0.0078907480642876,0.003449960648934027,0.0066568185076745084,0.008093580830445323,0.003155032578494706,0.004046802532037827,0.007950580183800368,0.008025577979262741,0.015573412769738362,0.008750957561190964,0.02351343181429235,0.011570251956516411,0.025615166952663797,0.03657877748558975
sub-2132,0.0056073865110989945,0.007619777921484984,0.006594103762758683,0.005426268137110336,0.008610809150928532,0.007207697777859783,0.007841728611583425,0.008743320869392373,0.006649791797273109,0.0033733036850338103,0.006038226983820593,0.003529801607689705,0.00412901685849676,0.006087477619105901,0.004537820575701897,0.004936681514659655,0.007854088727337222,0.011617871616111962,0.004653024202234343,0.007721023375819294,0.008663389295886987,0.016926660827553786,0.006140739718741159,0.006934240586717505,0.01650935465122197,0.007383879526458624,0.0163578186322384,0.006023938066770803,0.005590823318986355,0.006404260073123434,0.007896625375700714,0.009808239621034403,0.007218934634088291,0.006980868634580822,0.008451511513282467,0.004955924234772307,0.008699929279653984,0.005858108037851536,0.004979835478195835,0.004272387102417337,0.0096748614790124,0.006164964761865698,0.004857496452267093,0.007896117356659967,0.008135670791952664,0.004995944391842491,0.016180750138757156,0.011228634893626441,0.005311214338749211,0.00671185246458444,0.00552316734674459,0.004720498980833553,0.007825425438514392,0.005017345322137209,0.006398209529357524,0.00960732026396468,0.0060425163388783945,0.007941474706513874,0.00887500400238313,0.0042195448361809496,0.004591153915690775,0.0049009587934214505,0.0070322980782632355,0.008887172034598418,0.005245146983500191,0.004614806540417749,0.00454720255702349,0.005009897344851687,0.015228272338661199
sub-2122,0.004510257224787501,0.005416007690986969,0.005220088260390176,0.005157811051191754,0.005367021969856859,0.0057406107707643605,0.005817274405997709,0.009036629080845642,0.006517981131528574,0.007013111513720011,0.006933839366994499,0.0050850942376581484,0.006903735430040559,0.007207646314659189,0.005739835780060638,0.005583681731949416,0.007379428626213272,0.007808277813084415,0.007607431095096957,0.008630383384048257,0.008585836720068723,0.009568467449499725,0.00651564496987157,0.006742431023916067,0.004322301344594354,0.005999982576049359,0.006571354184457124,0.004449543627186917,0.006477061491127019,0.00592734162923177,0.006421445466148132,0.007290809321733769,0.006216028616392318,0.00940389126654238,0.006992362682142407,0.006754672363239064,0.011690603810325655,0.005079541051305385,0.005542905092209063,0.006339252433802722,0.00770959303641383,0.006728899639695098,0.006997260032018517,0.007107144832356784,0.00721073551137187,0.00815636277294543,0.005594700800803635,0.0061276231260853605,0.004636521475469003,0.005982050268574074,0.003044494056343935,0.0052453689684237885,0.006463955872470257,0.007458593375594491,0.0057966193948130055,0.007518133090284759,0.006776582341859845,0.008218555135137235,0.007952614195071593,0.004760392990038358,0.005918036999045561,0.005256000936032516,0.0059230823549807025,0.004290139586817195,0.006248835390992417,0.005074644385853746,0.0067648993504721795,0.025270269188865817,0.013900602769045095
sub-0272,0.010503877957522329,0.006677939164908454,0.004791017893200947,0.00578866170686106,0.005645288384861461,0.0055883313480904265,0.003892447452452828,0.024739200483434618,0.007774888117998472,0.004810160386350734,0.007176821118966178,0.0041018425476645574,0.0020721413915151085,0.008892296920058726,0.008365922752936301,0.003469395954221595,0.0037438636607615844,0.003925439193191417,0.0036165349116735893,0.004037914414291458,0.005106155475888637,0.00441084655834809,0.003032526785312713,0.0060244221467937635,0.012851646274615748,0.005181694969908298,0.015326114915089685,0.006748600083701,0.0075667766681653675,0.005398711377914091,0.00504781201152545,0.005108861729096768,0.013893136078113063,0.010953265227179244,0.004806854387982798,0.007391845947016658,0.009544320930060073,0.006316512909574785,0.005571161410257356,0.005732338061174715,0.007083367451509949,0.004267213621779354,0.004619399636537076,0.005167353172173584,0.004886188042134231,0.0068407581938533905,0.005426727777177652,0.0044583201609820775,0.004524697175213877,0.006230112288818395,0.008139022415108135,0.005552732395956435,0.008647144587961335,0.00845771896884014,0.0029552678148219713,0.01067520403743791,0.005246916534733051,0.008241422923532008,0.006922714113211728,0.005191302251605115,0.006354390024408602,0.0030823132248914862,0.007027045485296438,0.0045364673906858975,0.00827418362039164,0.00596479357439409,0.01010064973063066,0.00997443473894238,0.011497331492660436
sub-2130,0.011988216560345264,0.006509680414615629,0.007510998830064382,0.007464809806549921,0.007451777507678825,0.005461245427337878,0.005591796540178652,0.010577748694232253,0.005144703592593478,0.008298994000629693,0.009061192960305343,0.005989232950008046,0.004454430655379975,0.012326614932765134,0.012273210953677552,0.0040167599528716635,0.005288557024846077,0.006594026283505764,0.005089955036539098,0.005895368626168529,0.004790121760792082,0.006122556576274158,0.004265544280738412,0.007745986849580145,0.02007715847993371,0.005309879769896063,0.017750926555355165,0.008733973480450335,0.006796177557792127,0.006445413393544634,0.006887316480676545,0.008664322726114183,0.010607416484404882,0.01955086418294413,0.008467400213641152,0.007729848790703244,0.017849562374921392,0.010426831154143397,0.00756044160769861,0.004726868601398426,0.009644086159718367,0.005635158706594672,0.0035550247300113217,0.007006535642924635,0.005157817792335287,0.004070886379678889,0.006195415835487645,0.006464465862734156,0.0066938774303402305,0.007889219598591313,0.006839449915897843,0.006235972571111506,0.008578763020684377,0.0062449348011624365,0.007888662252582584,0.0061015892468652185,0.0050962702351068975,0.005451799831294655,0.009207083390320439,0.005166649690549297,0.006314826243271044,0.006550858547101269,0.005444067977209828,0.0066608341168736115,0.0057151553300734065,0.007919415011817687,0.007627664227110135,0.007126986223972733,0.020166505307597015
