Cluster,Substantia Nigra Left,Substantia Nigra Right,Cognitive Health
0,0.3323467225660774,-0.0919145315052404,MCI
1,-1.1617615241885024,-1.0595439211873008,PDD
2,0.5735400912188632,1.4346611356128245,Cognitively Normal
