Subject,Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens,Substantia Nigra Right,Substantia Nigra Left
sub-0270,0.011413486129268072,0.01098310415572194,0.010253465567450845,0.010470565280168235,0.011631001962479834,0.010933297301345348,0.01126741147141929,0.008058188162669578,0.008130271657336235,0.010452066974545262,0.008607505844451226,0.011179027137670126,0.01017260168000233,0.009645053309696134,0.011204028949850356,0.010417910344949759,0.012473360309295908,0.011192087710863356,0.011523229465162956,0.011438984394322468,0.011484133735045367,0.011763832545594238,0.011730518304758396,0.011985862592183552,0.010531197525125864,0.01077575280397759,0.011161603170385646,0.011030485745696454,0.009603193927614252,0.010582737299766934,0.013007975711188247,0.013115850990898415,0.01024033960193264,0.010136342157924673,0.009291963267837525,0.01207744990829802,0.00929819855111106,0.010710631767598351,0.009900726532677165,0.010865010086207527,0.011174290281724696,0.012059717039344723,0.011299913494838644,0.008561314953409943,0.008354061714554158,0.010250958828541375,0.010543721410482767,0.012181249149899518,0.012213577917543027,0.01143393266574379,0.009865851913232353,0.010388836028619272,0.010566146085589031,0.009246445545528741,0.009638337633403207,0.010167132933828895,0.011395652329157112,0.010459989233779499,0.009887091278976284,0.012501606487607045,0.012155568526398304,0.00958754048902277,0.011064005148419948,0.009657652995984428,0.010348581635715512,0.009297493441991288,0.00829587287361694,0.008800920198823574,0.0106257460284154,0.007642415840760603,0.007719176137868163
sub-0205,0.00806299881947171,0.008100151323623886,0.008432196340454478,0.008537480148390751,0.008519140667707276,0.008345342967379482,0.008678334948007481,0.007925524219140641,0.008482613970400113,0.008496174827762175,0.008455227864995519,0.008690294079593966,0.008298920724127067,0.008189196227089116,0.008570539040479627,0.008447890139078446,0.00870641937311648,0.008823309873042357,0.008618617373994551,0.008552099470241641,0.008522564642068919,0.00873497278129995,0.009021985409071101,0.008341675550848464,0.008169896436603482,0.008530633905466739,0.008000223195899128,0.007861672822449917,0.007986216739641682,0.008305029905963197,0.008571388387449815,0.008666949053889714,0.008370806302779601,0.008033430221182554,0.008071689927100804,0.008520893796360628,0.008161552151617912,0.007926697544048681,0.008180911508007198,0.008235825138242113,0.007956984347406305,0.00810095472011403,0.00809735283071597,0.00804549201056373,0.008054839541370897,0.008194871590714727,0.008139115611093657,0.009211183563648546,0.008274346432788864,0.008541017160660634,0.00802698921368935,0.008071109371681092,0.007851640697109266,0.008284877696152484,0.008469384162701859,0.008192582326951765,0.00839446032991962,0.00840794166885556,0.008420781463995173,0.007979505684284816,0.008252483064510957,0.007906210189592306,0.007987336737505752,0.007815937592150055,0.008021142929319143,0.008095091759683851,0.00817162265779827,0.009426320298246815,0.009351787476806784,0.00867470785124244,0.010451127625574855
sub-0231,0.010883391397740779,0.01072408094592537,0.013459968014861849,0.011123937309604478,0.011169454424124604,0.01104450792297624,0.013045999628417067,0.007862662877963094,0.010838407129957072,0.008924675117597512,0.007855154098314361,0.009183378679604205,0.011300671201941762,0.009215684227383622,0.010086432701909507,0.010456815151648367,0.012941172899245674,0.013211493019397629,0.011416779219397457,0.011974975956878856,0.012970236554492347,0.012257456355141095,0.00966399935575123,0.010736583781789369,0.009974948687009181,0.012223303526780287,0.010256049977122405,0.009934648932857117,0.010129054875782402,0.013081662122260852,0.013717733413646361,0.011964787922127882,0.009132062207437905,0.00817642211776459,0.010870916763688652,0.011655803083431159,0.007848418697952168,0.009541986417747993,0.011925268234862696,0.01035516244488528,0.008407292066810028,0.008032643661721111,0.01074776295457333,0.008134476531215367,0.008984501323246265,0.008344024129198843,0.011313170562949957,0.00947820626638898,0.012853659459425645,0.012531437818401958,0.007317744758006084,0.008815151140748911,0.010196333928234599,0.007501701314096705,0.006873192683647005,0.010908634334672266,0.00929540348066018,0.010135688337988412,0.01100406083427691,0.012944287386493565,0.012541256524839842,0.007646086322716708,0.009958044993027378,0.009134751164690721,0.00934316963011561,0.009173363221413206,0.008073606723958193,0.00759387917057492,0.006212210330005011,0.006561434393678643,0.003043133306626725
sub-0240,0.012847626677127301,0.01147486619040632,0.012581429695414008,0.012058623970243333,0.01152127799545091,0.01046942960975973,0.012199585653856483,0.009404417781381309,0.00956652384133362,0.009665229214398698,0.01021014924880819,0.01248892239321201,0.012155471327884679,0.009388444762585864,0.009678692111343767,0.01102716507539798,0.011713747718766572,0.011636079944638661,0.01251110306659052,0.013249337023532494,0.0122540631140797,0.0124160820709595,0.01203587520015704,0.012615084625387683,0.00716772794981658,0.012550239881303984,0.009688755367946835,0.011110840089100358,0.0067327576942891685,0.010845032075955031,0.01359872771693874,0.013518495575843307,0.009879788012394808,0.010934803126104342,0.00940298719087874,0.012942689220338347,0.009622568958036384,0.008899082219084833,0.009812922028887082,0.013191117160437799,0.01112324570292225,0.010175929379445614,0.01117359744702785,0.007932823278075292,0.008650532730569328,0.010164829292625067,0.011552677591482444,0.010697393682293355,0.013202016663553157,0.012018214869609616,0.007961881217980703,0.009530445537569519,0.0099795760274348,0.011694251985947701,0.010301242510926057,0.010576554115371378,0.010488808017120209,0.008430773664210545,0.011399992095445942,0.012735333157768734,0.01240227683316749,0.0072856706740033715,0.006726060698566795,0.008680959459757349,0.008326781303918729,0.008581769724817471,0.008873148529870643,0.006381776362788182,0.00804420955946314,0.007185379240208568,0.005762386793313546
sub-0238,0.01072128194754465,0.008784199547718523,0.009308115788132596,0.009108421117491045,0.010489350490957498,0.010703440871041388,0.008949018062427129,0.007983120931349764,0.009651854561865694,0.00974202994271706,0.006331850922388802,0.006525482972732255,0.009272513532913529,0.008054961526149445,0.0091924634899496,0.007843144620576144,0.012335028055535343,0.009325444339935592,0.012128195383849714,0.012294902796394443,0.011675315560790208,0.011040118462016978,0.0069292440683523795,0.011927435107206152,0.0098997991685522,0.010611630446206506,0.007236771802691038,0.009873124692639653,0.010421825873794708,0.010592282845507145,0.012404874994662215,0.010563604682141372,0.011226240731179601,0.00816122769747094,0.010036281969018906,0.01198623058800221,0.004926391748809442,0.00958251575679298,0.010089123978014673,0.009999352899556656,0.0082085628834412,0.011290243225133164,0.009864651087285774,0.0070811701674060815,0.008968666344207054,0.0075942306842259385,0.007571924425012242,0.005840687445344004,0.012310324153520845,0.009636138996466254,0.008672579640146984,0.007142126880444738,0.008789053068791306,0.008521902580945873,0.01100607221943079,0.010449537492095984,0.008110682088604486,0.008695544452373664,0.008131008446493105,0.012790436093181309,0.010454660459147148,0.00881059919841902,0.00896098532845904,0.006449969094698972,0.008073193855592667,0.008078042697002857,0.009223741328450746,0.008113907622050021,0.007508252193008756,0.007877282164694577,0.008759891999288116
sub-0252,0.011054290248883587,0.009669128857077188,0.009777000690662027,0.010951880558876045,0.010490478675198802,0.010208079546782206,0.011544434274597172,0.007986641607660652,0.010900086587202783,0.011587062642112823,0.010791564608895202,0.011346223021167298,0.01133868105258782,0.011359882625297114,0.011527451646529026,0.012123353391054576,0.01141022620813337,0.011270765152829853,0.011439998996484499,0.011315928689546268,0.01076290527674744,0.011703198931752604,0.01210466315007644,0.010926530876493753,0.010424667819865969,0.009435055713889915,0.011533813827930724,0.007839759544186867,0.006627073190436095,0.01144347736700409,0.01060713146822853,0.01158552743462077,0.010218403176476501,0.009732960228897572,0.008770567715659481,0.011095395366312379,0.009960863977576957,0.01065983893825863,0.010195895622023773,0.011581128448274757,0.007580413226732852,0.008870917458931978,0.008421791011111063,0.008945106443921807,0.008213763644063888,0.008240510901773445,0.009097786770448887,0.011880269426944992,0.011867514477355018,0.011183275289047771,0.00899833246084672,0.01008011182332581,0.009171756109964674,0.010651295827602969,0.008773442561424372,0.008538652703343736,0.008719296754059018,0.010670419802844748,0.00908982333206324,0.01191019951960625,0.010733961956760914,0.008533947333128353,0.00958645678260249,0.010080570251253994,0.010380187713861526,0.010626634396942544,0.008549910536000823,0.007665400322100098,0.00884003689282623,0.009469031995977237,0.008834234863312238
sub-2132,0.008322974541423096,0.010696141605849918,0.010034111627256294,0.008745073511728813,0.011409099204081586,0.011972862202169593,0.010889496755683863,0.00980770704562233,0.009656671045059838,0.008993807251767209,0.010530078188801275,0.011434290578346567,0.011991197763469973,0.008505811326384182,0.008612081409492942,0.00882531949766973,0.009178750574037083,0.00969962553248828,0.010273734067540096,0.010541852439443635,0.01078547651401229,0.00937851572445494,0.011843759284478103,0.011350498351036024,0.007550257393050703,0.011032205705558502,0.008178655180915439,0.010326539386052361,0.008000482478372616,0.011500770454643277,0.012289236188263915,0.012177749789377027,0.00979303869294994,0.009928888297817988,0.010352593724874392,0.012004377302816763,0.00929479414687227,0.008379437398314671,0.0094736624324164,0.009323454369655534,0.008375499140268949,0.008361133753102047,0.008655077490264599,0.009871059987112001,0.006256342072969717,0.007906481823196693,0.010530153119652146,0.010721323020874841,0.010951013335252497,0.010958188325904136,0.008890304271270348,0.006794603498095793,0.009147010173468107,0.008626106900878701,0.009531210836833592,0.012835878585697414,0.009608637857285142,0.008735999072564053,0.010328711818801269,0.010200613365355488,0.010754468801171238,0.006397064419398999,0.006301245432773572,0.008003809076608087,0.008875080289066284,0.007864793341115032,0.009065410387032506,0.00811966458373032,0.008556398148956578,0.008008201137693504,0.008360529417247095
sub-2122,0.010984378462412084,0.012945625034199534,0.013022344094288993,0.012823740384865232,0.01253609010199661,0.012463674894755255,0.013001572451761634,0.011253897878850262,0.011918749319910698,0.011392074203436561,0.0127728160504445,0.0124094337335736,0.01151357163134489,0.01097635484003421,0.007502194786236632,0.011465878676280655,0.012666865160428987,0.013235133654936152,0.012881645177394232,0.01218298167586289,0.013182786041260188,0.013283572947160715,0.013655621199118733,0.012140927771115178,0.010565329147474893,0.010970243653796988,0.008265948163743118,0.012970536573203323,0.012844134182831368,0.012564731424010241,0.01274089430815713,0.012683272519483297,0.011292462969049776,0.008547388376065532,0.01028297460153079,0.013040855884976799,0.009376400308912467,0.007326418484445415,0.008294029572467136,0.012215039068031085,0.011878457701978252,0.011384393474537745,0.011074481382437041,0.012568546416330612,0.010854882143375558,0.01225580312077744,0.008889995074538642,0.013630937520303279,0.012366475051054008,0.013808096875159354,0.010998788071170775,0.011793847477780249,0.010897333766914244,0.01037950735499245,0.0119998337848607,0.012786825032545078,0.008650789090814815,0.011106298809275312,0.010367187683280694,0.013553848928212561,0.01328646690851612,0.011584972845960615,0.01145794895384283,0.007914674260896863,0.009922157921074965,0.009865031991411454,0.011627411051712336,0.010063104341293294,0.007325117149013331,0.006641288181757181,0.008938837466698773
sub-0272,0.011513163355304855,0.010771236671569836,0.009829372115280077,0.010263440650369325,0.010432031501364313,0.009905313431002802,0.010785035054813926,0.011213154849803434,0.007362064380212141,0.009758973677052786,0.010648358072530596,0.010455634845846083,0.008697104873955738,0.010028798440253077,0.009715275100767628,0.007385858963473036,0.010979027054992471,0.010576304749961964,0.010008659020849719,0.0093515652863906,0.00934854457883664,0.010715553651042183,0.01022638453367983,0.01088154341158697,0.010065730359824254,0.009049059983983112,0.010847140090867622,0.01011877019140662,0.009940471609094144,0.009922150969321067,0.011441166942569372,0.01073311068331601,0.01094276633654368,0.007985568145017947,0.007479373842560737,0.00948471950661509,0.00833736473468919,0.008175055048031173,0.009194705519094125,0.009912198382445826,0.009335535899127287,0.008810814236238067,0.008318238505070893,0.008431323781612002,0.009093797149289134,0.007145126489372677,0.006782610961091206,0.011766767614116382,0.011947886185364064,0.01149347083933784,0.010798591303755324,0.010635095529720895,0.008896966401101228,0.009619873500322642,0.008518822561565498,0.00952117470526458,0.009410416316496173,0.010204285411887972,0.008864450802311668,0.012663541608547617,0.011828726444163457,0.009076624155596746,0.009296500776186989,0.007758620657282918,0.009474388714331832,0.006780206852607594,0.008281949330609436,0.005077019262726893,0.00811178461259249,0.006161571470743281,0.0064939652865695805
sub-2130,0.011777417804637945,0.010822095393561037,0.010546068598750406,0.011324994462376104,0.011179618487983507,0.010313667326074086,0.011805742781662194,0.009056475736468278,0.008710599012260432,0.009557023829658102,0.009735217218053871,0.01008239304118217,0.009764760697183678,0.008654691969165703,0.009327090738120694,0.010024934840991864,0.01136525761895067,0.012262794349360137,0.01165375100591755,0.010891373372145923,0.011062284298080167,0.01205463416869703,0.01093639485824734,0.010565918372389772,0.010953447309252289,0.011060438705819096,0.009401269711152146,0.009841089928238836,0.009510993534064508,0.012094320770746968,0.012586110720102028,0.012354108669950672,0.010181639814694252,0.009007108450460686,0.00657529567032334,0.010643440011292358,0.008851512965847776,0.009616341452062445,0.008260557082122488,0.009991363206925568,0.010393289597577678,0.0061668958196042485,0.008532496333837675,0.008182908867039873,0.007626146063250868,0.007934099698646517,0.009340503511356481,0.012700846153353429,0.01145403699497849,0.011585501171707084,0.007941585747964669,0.009162589569855134,0.009036938333173523,0.008450183138678187,0.011250921914686709,0.011168901720324422,0.007520529895482788,0.007907553317901182,0.009147060483267069,0.01120026932775386,0.011152400397316053,0.009029995931384892,0.011637824186891809,0.009939352926538733,0.008019333260588624,0.008610113900081817,0.005672225440506677,0.007537285586239862,0.008842424537427744,0.007076040296114129,0.0063064024917506446
