Substantia Nigra Right,Substantia Nigra Left
431.5,588.5
410.0,572.5
395.0,613.5
403.0,594.0
394.0,630.5
402.0,593.0
402.5,595.0
381.5,617.5
420.5,578.0
400.5,604.0
387.0,588.0
395.5,585.0
409.0,595.5
413.5,591.5
379.5,595.5
417.5,577.5
419.0,589.0
402.0,587.5
399.5,591.5
398.5,603.0
410.0,590.0
407.0,599.5
428.5,579.5
396.5,618.0
421.0,584.0
414.0,586.5
425.5,584.5
422.0,604.5
415.0,601.5
409.5,607.5
422.5,592.5
405.5,613.5
418.5,610.0
429.0,606.5
435.5,597.0
424.5,609.0
438.0,609.5
415.5,584.5
445.5,596.5
428.5,577.5
427.5,597.0
439.5,585.0
424.0,587.5
435.0,599.0
415.5,594.5
431.5,592.0
425.5,594.5
430.5,605.0
418.0,612.5
430.0,593.5
428.5,607.0
442.5,579.0
432.0,579.0
460.0,591.0
435.0,584.5
433.0,601.5
435.0,597.0
431.5,612.0
444.0,577.0
430.0,587.5
430.0,602.0
411.5,583.0
427.0,578.5
426.0,587.5
432.5,600.0
427.5,588.5
423.0,570.0
425.5,605.5
430.0,594.5
422.5,602.5
437.5,600.5
409.0,587.0
445.0,615.5
428.5,614.5
423.5,620.0
423.0,602.0
422.0,604.0
415.0,599.5
424.5,598.5
437.5,586.0
430.5,607.5
431.0,586.5
436.5,605.5
434.5,602.5
430.5,591.0
437.0,606.0
439.5,592.5
431.5,599.0
452.5,601.0
438.5,590.5
446.0,593.5
456.5,594.5
452.0,583.0
423.0,598.0
465.0,577.5
449.0,593.0
445.0,581.0
468.0,588.5
446.0,583.5
461.5,585.5
457.0,578.0
449.5,593.0
434.0,588.5
456.0,600.5
429.0,591.0
456.0,588.5
436.0,594.5
450.5,594.0
444.5,589.5
454.5,584.0
445.0,575.5
455.0,591.0
451.0,580.5
457.0,589.0
449.0,577.5
463.0,581.5
459.5,579.5
473.0,585.5
461.0,574.5
467.5,577.0
456.0,587.5
465.5,584.0
462.0,581.5
459.0,579.0
466.0,587.0
463.5,580.5
454.0,583.0
458.0,577.5
477.5,559.5
464.0,577.0
467.0,585.0
480.5,593.5
451.0,573.5
456.5,587.5
461.0,572.5
465.0,582.5
475.0,582.5
470.5,581.0
467.0,593.0
450.0,590.0
459.5,580.5
446.5,579.0
454.5,579.0
451.5,608.5
474.0,586.0
448.0,598.0
459.0,576.0
464.5,583.0
460.5,570.5
475.0,590.5
475.5,584.0
464.0,578.5
469.5,581.0
472.0,582.0
459.5,604.5
470.0,579.5
488.5,587.5
469.0,580.0
467.5,581.0
470.5,582.5
461.5,607.0
490.0,580.0
466.0,567.5
483.5,583.0
494.5,526.0
479.5,596.5
451.5,584.0
451.0,600.5
451.0,590.0
454.5,570.0
466.5,567.5
458.5,607.5
450.5,597.5
461.0,606.0
457.0,610.0
461.0,595.0
453.5,586.5
450.5,579.5
475.0,595.0
456.5,602.5
477.5,596.0
454.0,574.0
466.0,582.5
472.5,586.5
453.5,594.5
451.5,591.0
460.0,593.5
463.0,583.5
467.5,585.5
461.5,584.0
476.0,587.0
465.5,578.0
466.0,590.0
462.0,596.5
470.0,581.0
460.0,581.0
474.0,576.5
474.0,574.5
475.5,581.5
468.0,582.5
448.5,594.0
461.5,596.5
464.0,612.0
474.0,591.5
478.0,583.5
465.5,593.5
460.5,563.5
469.5,576.0
465.5,583.0
481.0,583.5
480.0,592.0
462.0,579.5
457.0,589.5
476.5,597.0
463.5,578.5
486.5,587.0
477.5,578.5
479.5,594.0
442.5,595.0
466.0,586.5
465.0,593.0
482.5,570.5
482.5,575.5
494.5,569.5
487.5,582.0
484.0,579.0
463.5,576.5
466.0,569.5
447.5,585.0
478.5,584.0
481.0,552.0
480.5,582.0
479.0,576.0
484.0,570.0
486.0,575.0
492.5,565.0
480.0,575.5
476.5,576.5
486.0,561.5
472.5,558.5
482.0,592.0
492.5,572.5
477.0,571.0
467.5,561.5
483.0,576.0
482.0,572.5
494.5,570.0
488.5,570.5
489.5,567.0
496.5,596.5
501.0,560.5
530.5,578.5
478.0,564.0
509.0,587.5
490.0,568.5
493.5,572.5
496.5,557.0
474.0,571.5
470.0,578.0
463.5,580.0
479.0,561.0
481.5,600.0
483.0,572.5
479.5,568.5
494.5,597.0
467.0,566.0
491.0,580.5
477.5,576.5
480.0,585.0
469.5,576.5
496.0,581.5
478.0,578.0
480.5,571.0
477.5,574.0
474.5,563.0
467.5,580.0
472.5,575.0
467.0,588.0
475.0,587.5
460.0,584.5
452.5,594.5
469.5,579.0
478.5,586.0
470.5,596.0
476.0,583.5
478.5,598.5
468.0,573.5
473.0,583.0
485.5,569.0
455.5,597.0
463.0,573.0
478.0,574.0
480.5,566.0
474.0,573.5
487.0,573.5
480.0,584.0
525.0,561.5
526.0,566.0
519.5,566.0
505.0,575.5
