Substantia Nigra Right,Substantia Nigra Left
544.0,543.0
530.0,535.0
543.0,537.6666666666666
523.5,534.6666666666666
526.5,545.0
523.5,531.0
533.0,542.3333333333334
531.5,541.3333333333334
530.0,541.6666666666666
535.0,540.0
538.0,549.3333333333334
535.5,539.6666666666666
546.0,543.6666666666666
517.5,528.0
538.5,545.3333333333334
540.0,551.0
543.5,543.0
534.5,552.0
543.0,542.6666666666666
540.5,549.3333333333334
536.5,551.0
537.5,556.6666666666666
544.0,533.6666666666666
544.5,553.0
541.5,534.3333333333334
542.5,550.3333333333334
548.0,538.3333333333334
543.5,556.3333333333334
547.5,560.3333333333334
546.5,549.0
537.0,544.3333333333334
541.5,552.0
537.0,547.6666666666666
531.5,559.6666666666666
539.5,536.6666666666666
536.0,546.6666666666666
538.0,541.6666666666666
555.5,558.0
551.5,542.6666666666666
550.5,555.3333333333334
539.0,545.6666666666666
545.0,558.3333333333334
551.0,554.3333333333334
555.5,554.3333333333334
537.0,550.0
541.5,557.0
544.5,552.6666666666666
541.5,559.3333333333334
540.0,540.3333333333334
541.0,560.0
550.0,543.3333333333334
549.5,551.3333333333334
550.0,550.3333333333334
547.0,546.3333333333334
546.5,566.3333333333334
548.5,545.3333333333334
547.0,545.6666666666666
542.5,551.0
543.5,539.3333333333334
535.5,550.6666666666666
536.5,532.3333333333334
545.5,546.6666666666666
540.5,536.3333333333334
555.5,547.0
544.5,537.6666666666666
541.0,540.3333333333334
547.0,536.0
546.5,548.6666666666666
545.0,547.0
545.0,550.6666666666666
537.0,544.3333333333334
530.0,532.3333333333334
540.0,542.0
542.5,531.0
538.0,542.6666666666666
535.0,517.6666666666666
549.5,539.3333333333334
537.0,527.0
540.5,536.3333333333334
537.0,521.6666666666666
554.0,545.0
541.5,542.3333333333334
544.0,527.3333333333334
541.5,533.3333333333334
537.0,539.3333333333334
536.5,534.6666666666666
544.5,536.3333333333334
544.5,531.0
541.5,534.6666666666666
539.5,515.3333333333334
543.5,541.6666666666666
534.5,522.6666666666666
535.5,544.0
533.5,536.3333333333334
554.5,523.0
540.0,538.6666666666666
532.5,532.3333333333334
539.5,538.6666666666666
542.5,533.6666666666666
547.5,534.6666666666666
530.5,535.3333333333334
542.5,523.6666666666666
531.5,533.0
551.0,522.3333333333334
542.0,530.0
529.5,517.0
544.0,543.3333333333334
547.5,533.3333333333334
540.5,519.0
533.0,539.6666666666666
549.5,539.3333333333334
556.0,543.6666666666666
544.0,541.6666666666666
538.5,522.3333333333334
543.5,537.0
537.0,525.3333333333334
538.0,535.0
532.5,525.3333333333334
532.0,543.0
542.5,534.6666666666666
531.0,520.6666666666666
532.0,537.0
537.5,528.0
537.5,524.0
542.0,532.6666666666666
527.0,517.6666666666666
551.5,540.3333333333334
537.0,528.0
536.0,519.6666666666666
534.5,525.0
535.5,527.6666666666666
537.5,527.0
551.5,522.6666666666666
522.5,525.6666666666666
529.5,525.0
534.0,522.0
537.0,531.0
537.0,533.3333333333334
538.0,526.6666666666666
537.0,531.6666666666666
530.5,521.3333333333334
529.5,536.3333333333334
533.0,523.0
539.5,521.3333333333334
539.5,524.6666666666666
542.5,518.3333333333334
538.5,525.0
535.5,539.0
530.5,531.3333333333334
547.0,516.6666666666666
533.0,526.3333333333334
532.0,524.3333333333334
542.0,541.0
533.5,522.6666666666666
521.0,521.3333333333334
537.5,532.0
539.5,528.0
540.0,520.0
536.0,542.3333333333334
535.5,529.3333333333334
529.0,519.0
537.5,529.0
542.0,529.3333333333334
527.0,526.3333333333334
538.0,538.3333333333334
542.0,531.6666666666666
529.5,531.3333333333334
522.0,523.0
528.5,527.6666666666666
535.0,533.3333333333334
531.5,530.0
536.0,525.0
532.0,523.6666666666666
528.0,525.0
535.5,523.0
544.0,529.6666666666666
534.5,515.3333333333334
523.5,529.3333333333334
528.5,526.3333333333334
531.0,516.6666666666666
523.5,524.0
538.5,513.3333333333334
526.5,532.0
524.5,526.6666666666666
529.5,510.6666666666667
531.0,517.3333333333334
527.0,520.0
