Substantia Nigra Right,Substantia Nigra Left
292.25,229.0
294.0,236.5
299.25,232.5
298.5,232.0
326.0,244.0
327.5,246.5
318.75,235.0
304.5,234.5
307.25,238.0
301.0,242.5
312.25,244.0
295.25,231.5
303.5,233.5
306.0,232.5
311.75,239.0
312.75,236.5
317.5,228.5
299.75,228.5
300.75,240.5
300.25,232.5
308.0,240.0
299.75,230.5
314.75,245.0
308.0,227.0
318.25,242.0
305.5,243.0
303.25,238.5
294.0,238.0
299.25,243.5
304.25,241.0
313.25,236.5
308.25,242.5
314.0,240.5
315.5,242.0
314.0,237.5
297.5,236.5
311.5,235.5
311.25,239.5
317.5,239.5
312.5,234.5
316.5,242.5
298.5,234.0
313.5,238.0
305.0,233.5
320.25,232.5
312.75,242.5
321.5,237.5
301.0,236.0
303.75,230.0
304.75,234.5
313.5,239.0
318.75,240.5
312.25,243.0
301.25,235.5
303.0,235.5
308.0,243.5
314.25,238.5
314.25,240.0
322.75,248.0
310.25,229.5
312.25,248.5
305.5,231.0
317.25,239.5
313.0,250.0
328.75,246.0
311.5,241.0
304.0,235.5
302.75,228.5
314.25,241.0
307.75,240.0
318.25,237.0
311.0,231.5
324.5,242.0
321.5,242.5
323.75,243.0
319.25,240.5
310.5,233.0
301.5,227.0
310.0,237.0
311.25,238.5
324.75,241.5
318.5,243.5
305.5,237.0
303.25,229.5
325.5,237.5
310.75,242.5
331.0,240.5
318.25,247.0
313.25,236.5
305.25,241.0
326.0,246.0
324.75,236.5
326.25,238.5
310.25,245.5
315.25,240.0
319.0,253.5
324.5,246.5
324.5,242.5
306.0,234.5
314.0,246.0
325.75,247.0
331.25,246.0
322.5,233.5
313.5,249.0
322.25,252.5
328.25,246.0
326.25,237.0
329.25,245.5
324.0,246.0
332.25,236.0
310.5,246.5
323.5,241.5
315.75,245.5
321.5,244.5
328.75,245.0
323.75,253.5
369.5,243.5
335.0,253.0
348.5,246.0
333.25,244.5
332.75,244.0
335.5,241.5
348.5,243.5
335.75,242.0
351.25,238.0
345.25,249.0
343.0,244.0
341.0,247.0
335.0,245.5
336.5,246.0
343.25,243.5
349.25,242.0
329.5,234.5
340.25,250.0
342.25,247.5
350.0,247.5
333.25,255.5
340.0,241.5
337.75,248.5
347.0,243.0
335.0,247.5
340.0,244.0
344.25,246.5
344.5,243.5
349.0,245.5
345.75,251.5
342.75,246.0
342.75,251.5
334.25,245.5
327.25,237.0
324.75,235.0
329.25,250.5
323.25,240.5
337.25,245.0
337.75,246.0
346.0,251.5
347.75,245.5
338.75,254.5
342.5,249.5
350.0,251.5
347.0,241.5
351.5,254.5
340.0,230.0
349.5,249.5
351.25,248.5
343.75,256.5
344.75,242.0
344.25,252.0
346.25,241.5
343.0,244.5
338.5,252.5
341.0,243.0
337.25,247.5
347.25,242.0
347.75,252.5
345.75,243.5
342.5,250.0
336.25,249.5
341.25,252.0
330.0,244.5
341.0,243.5
342.75,249.5
343.0,251.0
342.75,245.5
336.75,244.0
336.75,243.0
334.0,239.5
335.75,245.5
332.75,243.0
330.25,248.5
326.25,250.5
334.0,259.5
333.25,239.0
333.5,255.0
336.75,241.5
332.5,252.5
334.0,240.5
326.75,256.5
329.25,244.5
332.75,253.0
340.5,245.5
331.5,253.0
340.25,247.0
332.75,251.0
337.25,246.5
325.0,257.0
333.75,245.5
312.75,251.5
317.25,242.0
327.25,243.0
332.0,240.0
324.75,250.5
334.75,242.5
319.5,253.5
332.25,247.0
333.5,254.5
325.25,245.5
315.75,243.0
318.75,239.5
315.75,246.5
323.5,249.0
323.75,248.0
334.75,242.5
333.0,250.5
329.25,247.0
323.0,245.0
323.25,243.0
328.25,256.0
328.0,244.0
316.0,253.5
315.75,245.0
332.75,247.0
308.25,241.0
312.0,244.0
313.75,242.0
316.5,244.0
316.0,244.5
328.0,244.5
311.5,243.5
321.25,246.5
315.75,244.0
322.25,248.0
299.5,243.0
297.0,226.0
297.25,236.0
290.75,247.0
301.0,241.5
292.0,234.0
309.0,248.0
303.75,238.5
316.75,242.0
296.0,234.5
306.5,241.5
292.5,242.5
297.5,243.5
297.5,235.5
310.25,239.5
301.75,232.0
310.75,239.0
295.75,231.5
308.5,232.5
300.5,238.5
309.25,242.0
301.25,239.0
307.75,242.0
293.25,235.0
304.25,245.5
290.5,235.5
297.25,230.5
276.5,233.0
291.75,234.0
295.5,231.5
305.0,240.0
294.0,229.0
296.0,236.0
291.5,229.5
296.5,226.0
287.5,233.0
285.0,223.0
292.5,229.5
282.75,227.5
285.25,223.5
289.0,231.0
291.0,228.0
297.75,225.0
294.25,232.5
295.5,230.0
282.0,219.5
287.0,220.5
283.0,228.5
278.75,218.5
278.75,224.0
282.25,229.5
287.0,227.5
282.75,216.5
284.0,226.0
287.0,236.0
288.5,228.5
282.0,228.5
292.0,226.5
