Substantia Nigra Right,Substantia Nigra Left
504.0,483.8
489.0,474.8
478.0,477.8
485.0,473.2
486.0,470.0
491.0,477.4
490.0,478.0
495.0,477.4
505.0,473.2
484.0,477.4
483.0,471.6
484.0,477.2
498.0,477.4
488.0,475.2
489.0,478.2
479.0,477.6
493.0,477.8
496.0,477.4
493.0,473.4
495.0,474.2
509.0,477.0
486.0,474.8
487.0,471.8
482.0,483.4
501.0,478.0
485.0,479.6
508.0,479.8
494.0,472.0
498.0,468.6
494.0,478.2
486.0,472.8
494.0,482.4
488.0,477.2
486.0,479.6
493.0,474.8
514.0,473.4
494.0,479.8
492.0,478.4
500.0,473.4
493.0,479.4
487.0,478.8
505.0,477.0
493.0,476.4
478.0,476.0
503.0,471.6
487.0,477.4
505.0,474.6
498.0,473.8
488.0,473.0
495.0,475.4
481.0,474.8
498.0,477.0
491.0,477.4
486.0,474.6
492.0,475.4
500.0,475.0
494.0,476.4
505.0,480.6
491.0,475.4
490.0,478.8
506.0,483.2
493.0,473.8
501.0,476.0
499.0,476.8
504.0,479.2
498.0,482.6
488.0,475.2
504.0,474.4
500.0,479.0
485.0,475.6
490.0,474.6
498.0,480.8
492.0,474.8
502.0,474.0
498.0,479.8
493.0,478.4
500.0,479.2
500.0,479.2
499.0,480.6
496.0,480.6
496.0,479.0
484.0,481.8
499.0,479.4
496.0,475.6
507.0,482.2
505.0,475.6
497.0,477.6
491.0,474.0
499.0,478.2
484.0,471.8
488.0,478.0
508.0,479.6
498.0,482.0
485.0,473.6
486.0,482.6
501.0,479.4
497.0,474.4
488.0,473.2
507.0,481.2
486.0,479.4
492.0,477.6
515.0,479.4
489.0,481.8
505.0,482.8
491.0,479.0
502.0,474.2
499.0,473.2
505.0,474.0
487.0,475.0
481.0,479.8
490.0,476.8
492.0,473.6
473.0,479.0
478.0,475.2
486.0,479.0
504.0,481.2
462.0,470.4
497.0,478.2
487.0,482.0
483.0,482.0
488.0,481.0
490.0,477.2
473.0,474.2
493.0,478.4
491.0,472.8
481.0,470.8
480.0,471.8
488.0,477.6
493.0,475.0
478.0,478.4
491.0,474.4
491.0,477.4
483.0,475.8
506.0,473.4
480.0,477.8
479.0,471.2
474.0,474.0
489.0,474.6
496.0,474.2
468.0,472.4
488.0,481.6
469.0,477.0
488.0,476.4
490.0,479.8
493.0,479.6
484.0,478.6
485.0,484.2
490.0,477.0
495.0,476.8
508.0,475.8
504.0,472.2
489.0,476.0
490.0,482.8
496.0,475.6
473.0,473.4
481.0,474.2
501.0,480.0
478.0,475.2
494.0,477.4
466.0,470.8
484.0,478.2
481.0,472.2
480.0,471.4
468.0,475.0
465.0,477.2
484.0,472.2
470.0,472.4
478.0,476.0
473.0,474.6
493.0,474.2
475.0,478.2
497.0,478.0
472.0,479.6
460.0,473.4
472.0,471.6
492.0,479.0
490.0,469.2
461.0,477.0
486.0,477.8
480.0,471.0
461.0,471.4
484.0,478.8
476.0,477.8
471.0,475.8
464.0,479.2
479.0,477.8
474.0,470.8
472.0,474.2
478.0,477.6
477.0,480.6
475.0,481.6
487.0,483.8
482.0,475.4
476.0,476.0
485.0,475.6
483.0,475.6
484.0,477.2
470.0,472.4
483.0,479.0
462.0,477.0
456.0,476.0
473.0,467.4
497.0,481.4
491.0,473.4
489.0,473.6
497.0,477.6
476.0,481.0
491.0,477.0
483.0,475.8
486.0,475.0
466.0,474.4
478.0,474.6
474.0,475.2
500.0,475.6
474.0,476.2
471.0,472.4
471.0,474.2
457.0,468.4
470.0,473.6
454.0,468.0
476.0,472.6
478.0,475.0
480.0,478.4
489.0,470.8
482.0,478.6
465.0,478.8
470.0,475.2
478.0,475.6
475.0,473.8
475.0,473.8
470.0,472.6
475.0,481.0
478.0,473.4
469.0,471.4
473.0,476.0
486.0,471.0
484.0,472.6
471.0,464.0
479.0,472.4
457.0,466.4
461.0,473.2
472.0,472.0
492.0,473.8
475.0,469.2
469.0,472.4
460.0,470.6
472.0,477.0
461.0,478.4
458.0,473.8
481.0,474.8
471.0,470.8
484.0,481.8
462.0,472.6
474.0,472.8
459.0,474.6
484.0,468.6
485.0,470.0
479.0,474.2
485.0,477.8
455.0,468.4
457.0,471.2
450.0,471.2
470.0,477.2
434.0,467.6
455.0,474.0
504.0,479.0
480.0,474.6
485.0,480.8
477.0,477.2
490.0,473.2
487.0,478.8
491.0,475.8
497.0,478.4
500.0,479.4
487.0,477.6
468.0,475.6
481.0,475.0
491.0,472.8
495.0,473.0
476.0,472.0
486.0,475.4
482.0,470.6
471.0,471.6
485.0,475.4
486.0,471.4
462.0,476.0
480.0,475.0
487.0,478.0
493.0,480.2
481.0,481.2
474.0,477.6
472.0,471.4
471.0,478.8
470.0,474.0
474.0,477.4
470.0,474.2
476.0,478.0
491.0,475.4
495.0,473.4
491.0,477.6
