Frontal Pole,Insular Cortex,Superior Frontal Gyrus,Middle Frontal Gyrus,"Inferior Frontal Gyrus, pars triangularis","Inferior Frontal Gyrus, pars opercularis",Precentral Gyrus,Temporal Pole,"Superior Temporal Gyrus, anterior division","Superior Temporal Gyrus, posterior division","Middle Temporal Gyrus, anterior division","Middle Temporal Gyrus, posterior division","Middle Temporal Gyrus, temporooccipital part","Inferior Temporal Gyrus, anterior division","Inferior Temporal Gyrus, posterior division","Inferior Temporal Gyrus, temporooccipital part",Postcentral Gyrus,Superior Parietal Lobule,"Supramarginal Gyrus, anterior division","Supramarginal Gyrus, posterior division",Angular Gyrus,"Lateral Occipital Cortex, superior division","Lateral Occipital Cortex, inferior division",Intracalcarine Cortex,Frontal Medial Cortex,Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),Subcallosal Cortex,Paracingulate Gyrus,"Cingulate Gyrus, anterior division","Cingulate Gyrus, posterior division",Precuneous Cortex,Cuneal Cortex,Frontal Orbital Cortex,"Parahippocampal Gyrus, anterior division","Parahippocampal Gyrus, posterior division",Lingual Gyrus,"Temporal Fusiform Cortex, anterior division","Temporal Fusiform Cortex, posterior division",Temporal Occipital Fusiform Cortex,Occipital Fusiform Gyrus,Frontal Opercular Cortex,Central Opercular Cortex,Parietal Opercular Cortex,Planum Polare,Heschl's Gyrus (includes H1 and H2),Planum Temporale,Supracalcarine Cortex,Occipital Pole,Left Cerebral White Matter,Left Cerebral Cortex,Left Lateral Ventricle,Left Thalamus,Left Caudate,Left Putamen,Left Pallidum,Brain-Stem,Left Hippocampus,Left Amygdala,Left Accumbens,Right Cerebral White Matter,Right Cerebral Cortex,Right Lateral Ventricle,Right Thalamus,Right Caudate,Right Putamen,Right Pallidum,Right Hippocampus,Right Amygdala,Right Accumbens
3645.166565717747,3589.6265356265358,3501.5659777424485,3532.5115131578946,3830.6239316239316,3539.9583333333335,3662.8883374689826,3055.5890410958905,4195.348484848485,3714.198529411765,3603.771812080537,3739.1731448763253,3794.7418032786886,3401.8758620689655,2471.665071770335,3396.043269230769,3780.5290322580645,3994.8071895424837,4096.4946236559135,4315.410569105691,4278.378676470588,4367.737529691211,4013.77628032345,4426.328671328672,2007.5428571428572,4023.9006211180126,2712.0793650793653,4140.939622641509,3389.8671875,3668.5281385281387,4445.050301810865,4452.825757575758,3007.9153225806454,2610.769230769231,4002.511111111111,4424.211469534051,2118.4938271604938,3343.5106382978724,3952.787878787879,3957.8194444444443,4254.981132075472,4875.938356164384,4926.559139784947,5012.745454545455,5014.547169811321,4946.871794871795,4699.333333333333,4135.273170731707,3739.5588050314464,3700.7853600136823,4841.421348314607,3878.6832298136646,4197.666666666667,2889.2,3905.4296875,2557.790294627383,4132.65811965812,3715.276595744681,3743.653846153846,3950.9870174239836,3919.6044428520245,6246.734693877551,3955.401515151515,4018.0,2439.913043478261,2528.7241379310344,3304.6491228070176,3021.733333333333,2237.6
3225.215021199273,3204.886977886978,3108.550079491256,3217.7105263157896,3389.3418803418804,3170.0333333333333,3295.6153846153848,2453.404109589041,3544.8333333333335,3320.389705882353,3184.6711409395975,3300.441696113074,3416.4303278688526,3012.1103448275862,2184.784688995215,3036.3509615384614,3411.501612903226,3622.401960784314,3656.2258064516127,3817.020325203252,3837.172794117647,3977.5237529691212,3635.269541778976,3693.6153846153848,1684.8857142857144,3413.11801242236,2161.8888888888887,3449.3509433962263,2969.69921875,3166.4891774891776,3831.1971830985917,3788.6742424242425,2571.0241935483873,2016.2403846153845,3202.222222222222,3560.9390681003583,1841.0987654320988,2840.624113475177,3410.5227272727275,3476.1736111111113,3630.7924528301887,4036.123287671233,4080.6559139784945,4084.2181818181816,4108.132075471698,4062.7179487179487,3893.0666666666666,3737.846341463415,3245.2270440251573,3254.94150846588,3592.0898876404494,3090.1490683229813,3211.8947368421054,2523.5666666666666,3184.78125,2120.1837088388215,3314.3333333333335,3033.691489361702,3177.3846153846152,3374.8718824735224,3421.6517377284126,4273.051020408163,3245.409090909091,3106.9622641509436,2234.855072463768,2262.4827586206898,2702.245614035088,2515.766666666667,1901.2
3132.679588128407,3131.2628992628993,3011.330683624801,3151.902960526316,3276.8888888888887,3087.8791666666666,3214.7977667493797,2285.068493150685,3370.8030303030305,3240.7867647058824,3099.1208053691275,3224.964664310954,3352.8852459016393,2925.537931034483,2146.4354066985647,2968.8365384615386,3334.3016129032258,3547.2908496732025,3569.9247311827958,3714.3658536585367,3759.8970588235293,3904.8408551068883,3569.0350404312667,3553.979020979021,1617.9809523809524,3258.5465838509317,2045.9920634920634,3278.977358490566,2855.39453125,3080.6666666666665,3711.2635814889336,3651.0,2461.733870967742,1880.5865384615386,3053.0555555555557,3389.8817204301076,1785.2962962962963,2770.8581560283687,3328.6363636363635,3388.0,3477.0,3793.945205479452,3820.3333333333335,3821.0545454545454,3827.0377358490564,3862.6923076923076,3731.0666666666666,3662.6146341463414,3126.044968553459,3151.980160766205,3276.5842696629215,2895.0621118012423,2949.342105263158,2461.241666666667,3008.796875,2013.161178509532,3129.051282051282,2877.659574468085,3058.025641025641,3254.8561667236077,3319.743998566822,3814.6326530612246,3103.6666666666665,2878.622641509434,2218.014492753623,2234.310344827586,2636.6666666666665,2432.266666666667,1878.2
3104.444579043004,3119.142506142506,2983.4403815580285,3132.1661184210525,3249.363247863248,3070.025,3191.5868486352356,2237.917808219178,3335.871212121212,3222.8970588235293,3076.7852348993288,3212.3286219081274,3341.5737704918033,2911.696551724138,2140.6555023923447,2961.1826923076924,3307.914516129032,3526.143790849673,3543.52688172043,3687.6463414634145,3740.073529411765,3885.7019002375296,3554.7412398921833,3510.7482517482517,1600.7428571428572,3215.4844720496894,2023.3174603174602,3236.8037735849057,2849.359375,3047.822510822511,3667.327967806841,3612.181818181818,2452.4556451612902,1857.4711538461538,3016.911111111111,3356.6129032258063,1781.1728395061727,2758.9929078014184,3309.007575757576,3375.0555555555557,3442.169811320755,3742.013698630137,3788.6129032258063,3770.8,3795.867924528302,3799.153846153846,3680.0,3657.8634146341465,3097.711006289308,3125.832221652129,3170.2078651685392,2852.919254658385,2879.877192982456,2449.575,2958.90625,1996.095320623917,3078.4786324786323,2827.021276595745,3024.948717948718,3225.123676118893,3294.3978860623433,3645.1938775510203,3058.8636363636365,2801.6792452830186,2215.840579710145,2226.5172413793102,2607.4736842105262,2406.7,1853.8
3099.4833434282255,3113.09828009828,2977.907790143084,3128.064144736842,3240.534188034188,3064.2625,3185.966501240695,2200.2762557077626,3301.7272727272725,3205.029411764706,3066.3422818791946,3202.6713780918726,3336.782786885246,2899.503448275862,2134.4306220095696,2951.8173076923076,3307.3467741935483,3520.330065359477,3537.1129032258063,3681.8821138211383,3737.2757352941176,3882.8859857482184,3555.0754716981132,3504.4755244755243,1589.047619047619,3196.385093167702,2005.2857142857142,3216.7811320754718,2829.9453125,3045.744588744589,3659.5452716297787,3596.462121212121,2430.157258064516,1844.0961538461538,2984.8333333333335,3331.8351254480285,1773.962962962963,2745.2978723404253,3298.8257575757575,3366.1041666666665,3425.7735849056603,3708.2671232876714,3736.0967741935483,3726.5454545454545,3753.735849056604,3771.076923076923,3682.5333333333333,3652.4731707317073,3083.564465408805,3114.94150846588,3138.129213483146,2829.472049689441,2847.5087719298244,2444.7833333333333,2943.7578125,1976.6013864818024,3061.2820512820513,2819.3829787234044,3016.0641025641025,3211.899897505979,3285.1282694374777,3604.3571428571427,3042.2272727272725,2784.433962264151,2225.1014492753625,2237.5172413793102,2605.4736842105262,2406.366666666667,1864.0
3093.2713506965474,3111.051597051597,2968.8473767885534,3121.9753289473683,3237.076923076923,3054.65,3180.318858560794,2214.3150684931506,3308.969696969697,3199.720588235294,3064.3489932885905,3209.5795053003535,3333.8565573770493,2897.303448275862,2127.6698564593303,2951.5865384615386,3299.408064516129,3513.7156862745096,3530.1559139784945,3670.2601626016262,3736.8713235294117,3877.5498812351543,3552.587601078167,3504.4545454545455,1594.6190476190477,3192.832298136646,2006.9126984126983,3213.6679245283017,2831.73046875,3029.6190476190477,3648.6116700201205,3602.742424242424,2438.358870967742,1836.375,3005.3444444444444,3349.064516129032,1767.358024691358,2745.340425531915,3300.0,3371.6805555555557,3424.245283018868,3714.1575342465753,3760.7526881720432,3737.5636363636363,3767.9811320754716,3755.974358974359,3677.4666666666667,3653.0170731707317,3080.627358490566,3111.404309902514,3117.4719101123596,2826.3105590062114,2835.1140350877195,2440.6,2938.84375,1974.6464471403813,3053.4700854700855,2807.648936170213,3006.7948717948716,3209.0256235052957,3281.9750985309925,3560.5510204081634,3034.098484848485,2754.8867924528304,2206.7246376811595,2208.655172413793,2593.035087719298,2393.5666666666666,1829.4
3098.2804360993337,3109.5749385749386,2969.022257551669,3123.7911184210525,3235.7991452991455,3056.7791666666667,3180.6153846153848,2189.689497716895,3294.5,3204.485294117647,3058.9395973154365,3210.7526501766783,3338.0450819672133,2904.862068965517,2132.5885167464116,2951.716346153846,3302.432258064516,3519.3333333333335,3531.52688172043,3675.7073170731705,3735.0698529411766,3885.6817102137766,3557.264150943396,3508.909090909091,1600.1142857142856,3187.422360248447,2005.8253968253969,3214.045283018868,2830.74609375,3037.4935064935066,3661.245472837022,3602.3863636363635,2434.189516129032,1838.701923076923,2970.266666666667,3335.767025089606,1775.5061728395062,2744.9858156028367,3302.3636363636365,3366.1736111111113,3422.9056603773583,3700.27397260274,3741.9139784946237,3727.9454545454546,3750.9811320754716,3759.6923076923076,3688.733333333333,3658.8341463414636,3080.9751572327045,3111.8317085684967,3118.5842696629215,2825.0062111801244,2833.438596491228,2441.1916666666666,2936.4765625,1979.8058925476603,3047.7948717948716,2807.6382978723404,3011.141025641026,3209.311240177656,3283.1533500537444,3563.561224489796,3028.590909090909,2763.4716981132074,2208.289855072464,2235.8275862068967,2601.1754385964914,2401.5333333333333,1860.2
3090.6056935190795,3103.1941031941033,2961.162162162162,3118.532894736842,3226.0641025641025,3050.0666666666666,3175.7518610421835,2215.3150684931506,3307.7651515151515,3200.860294117647,3065.2550335570468,3206.3533568904595,3329.409836065574,2891.958620689655,2129.7081339712918,2944.8365384615386,3295.3612903225808,3510.849673202614,3526.52688172043,3661.8414634146343,3727.7536764705883,3878.290973871734,3552.897574123989,3510.769230769231,1597.6761904761904,3184.5962732919256,2013.6190476190477,3207.758490566038,2828.53125,3034.4199134199134,3657.5814889336016,3612.7348484848485,2429.483870967742,1824.125,3000.6,3349.767025089606,1760.8271604938273,2745.574468085106,3303.2651515151515,3369.027777777778,3421.4528301886794,3711.205479452055,3739.8494623655915,3741.1454545454544,3772.490566037736,3756.858974358974,3687.6,3657.8658536585367,3076.658490566038,3109.4788780571234,3107.679775280899,2811.8695652173915,2819.561403508772,2436.616666666667,2936.6015625,1965.6776429809358,3044.358974358974,2801.0106382978724,2997.974358974359,3206.54765971985,3278.3176280902903,3553.3571428571427,3028.8030303030305,2737.7924528301887,2201.8695652173915,2205.1724137931033,2592.719298245614,2399.733333333333,1863.8
3096.314354936402,3106.6093366093364,2963.2702702702704,3119.376644736842,3227.7478632478633,3052.1208333333334,3177.375930521092,2203.0525114155253,3298.780303030303,3208.8970588235293,3060.3221476510066,3204.5194346289754,3329.7909836065573,2903.0344827586205,2133.5885167464116,2948.4423076923076,3299.0612903225806,3514.90522875817,3527.2741935483873,3671.569105691057,3724.863970588235,3879.9287410926368,3554.0026954177897,3511.3496503496503,1595.8,3181.813664596273,2013.7460317460318,3205.709433962264,2832.52734375,3038.987012987013,3671.897384305835,3614.1439393939395,2435.4919354838707,1842.0096153846155,2985.222222222222,3345.663082437276,1778.8148148148148,2750.354609929078,3309.2954545454545,3370.6666666666665,3414.811320754717,3696.4383561643835,3745.7096774193546,3731.3454545454547,3757.754716981132,3756.1794871794873,3693.733333333333,3665.407317073171,3078.2622641509433,3111.8536001368225,3111.7022471910113,2822.888198757764,2821.2017543859647,2441.116666666667,2932.828125,1978.5961871750433,3043.897435897436,2802.7340425531916,3004.0,3207.0515886573285,3280.6087423862414,3552.1020408163267,3026.8636363636365,2749.5283018867926,2213.4057971014495,2227.8275862068967,2597.5438596491226,2398.0333333333333,1858.0
3091.9370078740158,3103.830466830467,2963.858505564388,3116.407894736842,3224.264957264957,3047.6375,3174.985111662531,2223.392694063927,3306.348484848485,3202.5882352941176,3065.241610738255,3207.4982332155478,3325.754098360656,2892.406896551724,2129.7416267942585,2943.2403846153848,3294.883870967742,3507.8398692810456,3526.6021505376343,3659.837398373984,3720.669117647059,3873.964370546318,3551.1832884097034,3505.6013986013986,1593.752380952381,3185.1614906832297,2014.7380952380952,3198.769811320755,2810.64453125,3032.930735930736,3660.404426559356,3613.651515151515,2429.7137096774195,1834.4038461538462,3012.9666666666667,3356.4229390681003,1763.8148148148148,2749.418439716312,3303.9848484848485,3373.3263888888887,3417.188679245283,3697.7397260273974,3734.516129032258,3732.2363636363634,3734.622641509434,3760.525641025641,3686.0,3661.2146341463413,3073.108176100629,3108.622370446383,3107.6516853932585,2809.254658385093,2816.7105263157896,2436.4166666666665,2930.703125,1962.8648180242635,3045.991452991453,2801.223404255319,3001.5128205128203,3203.307140416809,3278.252955929774,3556.5408163265306,3028.0227272727275,2742.264150943396,2209.855072463768,2218.862068965517,2597.4561403508774,2398.8,1852.0
