Substantia Nigra Right,Substantia Nigra Left
3783.5,3731.5
3443.0,3351.5
3381.5,3298.5
3390.0,3292.5
3400.0,3336.5
3395.0,3355.5
3387.0,3290.0
3368.5,3287.5
3388.5,3296.0
3393.0,3276.0
3403.5,3325.0
3410.5,3297.0
3376.5,3299.0
3411.0,3340.5
3413.0,3324.5
3424.0,3317.5
3401.5,3321.5
3400.5,3305.0
3389.0,3294.0
3396.0,3343.0
3392.0,3311.5
3394.0,3341.5
3388.0,3319.0
3356.0,3285.0
3412.0,3313.0
3422.5,3340.0
3413.0,3306.5
3419.0,3311.0
3397.0,3316.5
3419.5,3317.0
3413.0,3319.5
3392.0,3313.5
3403.5,3306.5
3397.5,3312.0
3411.5,3299.5
3408.5,3290.5
3403.5,3299.0
3404.5,3291.5
3401.0,3288.5
3366.5,3299.5
3365.5,3316.0
3357.0,3289.0
3368.5,3280.5
3420.0,3291.0
3387.0,3280.0
3370.0,3265.0
3372.5,3297.0
3350.0,3292.0
3383.0,3292.5
3352.0,3284.5
3354.0,3289.5
3363.0,3305.5
3371.0,3292.0
3341.5,3317.0
3368.0,3274.0
3372.5,3258.0
3387.5,3303.5
3373.5,3290.0
3375.5,3263.5
3375.5,3289.5
3392.0,3310.0
3360.5,3281.0
3372.5,3256.0
3344.0,3293.5
3352.5,3305.5
3368.5,3287.0
3360.5,3304.0
3389.5,3290.5
3383.5,3267.0
3348.5,3266.0
3350.0,3280.5
3326.5,3257.5
3347.5,3243.0
3354.0,3273.0
3352.0,3265.5
3364.0,3271.0
3339.0,3268.5
3349.0,3242.5
3351.0,3271.5
3318.5,3256.5
3321.5,3250.5
3362.5,3266.5
3373.0,3273.0
3382.0,3260.0
3360.0,3297.0
3365.5,3278.0
3365.5,3286.5
3339.0,3266.0
3323.5,3255.0
3335.5,3264.5
3326.0,3300.0
3305.5,3273.0
3320.5,3275.0
3342.0,3271.0
3348.0,3256.0
3373.0,3286.5
3361.0,3255.0
3369.5,3281.0
3338.0,3255.5
3323.0,3254.5
3321.0,3264.0
3330.5,3272.0
3335.0,3275.0
3324.0,3287.5
3335.5,3257.5
3349.0,3255.0
3325.5,3265.5
3328.5,3266.0
3341.5,3256.0
3317.0,3265.5
3317.0,3265.0
3329.5,3290.5
3314.5,3271.0
3357.0,3256.5
3352.0,3267.5
3368.5,3278.0
3342.0,3249.0
3326.0,3265.5
3343.0,3259.0
3326.0,3264.5
3307.5,3266.5
3303.5,3242.5
3336.0,3296.0
3318.0,3261.0
3341.0,3268.5
3330.0,3253.0
3346.0,3266.5
3347.5,3251.5
3343.5,3279.5
3381.5,3310.0
3358.0,3281.5
3350.5,3267.0
3349.0,3281.0
3346.5,3300.5
3364.5,3286.0
3384.0,3280.5
3379.5,3278.0
3369.5,3306.5
3379.0,3296.0
3351.0,3327.5
3345.0,3323.0
3332.5,3317.5
3339.5,3317.0
3348.5,3297.5
3345.5,3275.5
3355.5,3289.5
3335.5,3305.5
3337.0,3287.0
3325.0,3296.5
3323.5,3261.5
3344.0,3297.0
3349.0,3276.0
3359.5,3271.0
3362.5,3284.5
3356.0,3277.5
3358.0,3267.0
3364.0,3281.0
3342.0,3275.0
3328.5,3244.0
3321.5,3231.0
3340.0,3273.0
3405.5,3298.5
3372.0,3284.0
3386.5,3302.5
3357.0,3329.5
3344.5,3254.0
3324.0,3279.0
3325.0,3262.0
3332.5,3267.0
3340.0,3299.0
3331.5,3274.5
3345.5,3278.5
3335.0,3245.0
3365.5,3259.5
3334.5,3252.0
3334.0,3294.0
3321.0,3278.0
3311.0,3266.0
3319.5,3280.5
3325.5,3263.0
3297.0,3253.0
3330.0,3260.0
3336.5,3266.0
3313.5,3246.5
3318.0,3280.5
3335.5,3266.0
3362.0,3305.0
3349.0,3280.5
3366.0,3304.5
3352.5,3274.5
3335.5,3301.0
3297.5,3301.0
3331.5,3312.5
3354.0,3307.5
3339.5,3279.5
3331.0,3275.5
3342.5,3293.0
3352.5,3276.0
3362.5,3302.5
3353.5,3301.0
3353.0,3282.0
3363.5,3328.0
3352.0,3291.0
3355.0,3287.0
3355.5,3310.0
3362.0,3290.5
3333.0,3289.0
3328.0,3273.5
3349.5,3305.0
3349.5,3288.0
3350.5,3272.0
3379.0,3309.5
3368.0,3356.0
3336.5,3329.0
3317.5,3320.0
3318.5,3307.0
3357.5,3319.0
3335.5,3299.0
3342.0,3308.5
3333.5,3307.5
3343.0,3285.0
3350.0,3313.5
3325.5,3282.5
3335.0,3296.0
